candidate_id,input_sha256,agent_id,input_conflict_id,field,value_a,value_b,resolution,resolution_evidence
C0058,fb8c09b3bb90b3ec3ccde397203c794b62f6e10c660e16350d056f661562f5e2,metadata-01,X6D1581F3ABA3,venue,IEEE Transactions on Games,IEEE Transactions on Games 17(4),IEEE Transactions on Games,publisher::https://ieeexplore.ieee.org/document/10965488/
C0058,fb8c09b3bb90b3ec3ccde397203c794b62f6e10c660e16350d056f661562f5e2,metadata-01,XABFE93E09ADB,url,https://doi.org/10.1109/TG.2025.3561107,https://doi.org/10.1109/tg.2025.3561107,https://doi.org/10.1109/tg.2025.3561107,doi::https://doi.org/10.1109/tg.2025.3561107;publisher::https://ieeexplore.ieee.org/document/10965488/
C0058,fb8c09b3bb90b3ec3ccde397203c794b62f6e10c660e16350d056f661562f5e2,metadata-01,X54DAC6C175D0,source_type,journal article,paper,journal article,publisher::https://ieeexplore.ieee.org/document/10965488/
C0131,fbe40e5a24be09a9ad6f5fb162692ec28e58eee11cdd81a395c47da179b05c71,metadata-01,XDC7A3ED46394,venue,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters 10(4),IEEE Robotics and Automation Letters,publisher::https://ieeexplore.ieee.org/document/10910148/
C0131,fbe40e5a24be09a9ad6f5fb162692ec28e58eee11cdd81a395c47da179b05c71,metadata-01,XD6150E6E6496,url,https://arxiv.org/abs/2503.01471,https://github.com/ntnu-arl/aerial_gym_simulator,https://doi.org/10.1109/lra.2025.3548507,doi::https://doi.org/10.1109/lra.2025.3548507;publisher::https://ieeexplore.ieee.org/document/10910148/
C0131,fbe40e5a24be09a9ad6f5fb162692ec28e58eee11cdd81a395c47da179b05c71,metadata-01,XCDD8A7BA3536,source_type,journal paper,primary paper; official repository,journal article,publisher::https://ieeexplore.ieee.org/document/10910148/
C0145,a30683bfe58de66be43fbaac5e0ba1e33296231ab155910274da92e72e0660c1,metadata-01,X61D400C59011,venue,ACM Transactions on Software Engineering and Methodology,ACM Transactions on Software Engineering and Methodology 33(8),ACM Transactions on Software Engineering and Methodology,publisher::https://dl.acm.org/doi/10.1145/3680468
C0145,a30683bfe58de66be43fbaac5e0ba1e33296231ab155910274da92e72e0660c1,metadata-01,X13B71412AC47,source_type,journal article; official artifact,paper,journal article,publisher::https://dl.acm.org/doi/10.1145/3680468
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,X2641DAECD35D,title,Toward Maritime Robotic Simulation in Gazebo,Virtual RobotX (VRX) resources,Toward Maritime Robotic Simulation in Gazebo,publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,X592BD58D7A56,authors,Brian Bingham; Carlos Aguero; Michael McCarrin; Joseph Klamo; Joshua Malia; Kevin Allen; Tyler Lum; Marshall Rawson; Rumman Waqar,Open Robotics; Naval Postgraduate School; RoboNation; community contributors,Brian Bingham;Carlos Agüero;Michael McCarrin;Joseph Klamo;Joshua Malia;Kevin Allen;Tyler Lum;Marshall Rawson;Rumman Waqar,publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,XE6392C91C621,venue,MTS/IEEE OCEANS 2019 Seattle,MTS/IEEE OCEANS Seattle,OCEANS 2019 MTS/IEEE SEATTLE,publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,XF5FF5A3C06AA,venue,MTS/IEEE OCEANS 2019 Seattle,official software repository,OCEANS 2019 MTS/IEEE SEATTLE,publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,XC3935D05A20F,url,https://github.com/osrf/vrx,https://ieeexplore.ieee.org/document/8962724,https://doi.org/10.23919/oceans40490.2019.8962724,doi::https://doi.org/10.23919/oceans40490.2019.8962724;publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,X1314792636F2,url,https://ieeexplore.ieee.org/document/8962724,https://robonation.org/app/uploads/sites/2/2019/09/VRX_paper.pdf,https://doi.org/10.23919/oceans40490.2019.8962724,doi::https://doi.org/10.23919/oceans40490.2019.8962724;publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,XC03C87935358,source_type,conference paper,official repository,conference paper,publisher::https://ieeexplore.ieee.org/document/8962724/
C0147,6512f67e31b985cb0f16e40c632962a233e09e15aa4e81ee3c99b68d8354d11b,metadata-01,XE10E47B066EE,source_type,conference paper,primary paper; official repository,conference paper,publisher::https://ieeexplore.ieee.org/document/8962724/
