candidate_id,input_sha256,agent_id,verified_on,metadata_status,title,authors,year,venue,doi,url,source_type,title_evidence,authors_evidence,year_evidence,venue_evidence,doi_evidence,url_evidence,source_type_evidence,bib_entry_type,bib_venue_field,bib_url,key_author,author_kinds,notes
C0099,dd1a2070ac65188fe71abf66f60a5c5da92da0e8fdcf87425ecd8b784fc75a99,metadata-03,2026-06-30,verified,Position-Based Multi-Agent Dynamics for Real-Time Crowd Simulation,Tomer Weiss; Alan Litteneker; Chenfanfu Jiang; Demetri Terzopoulos,2017,Proceedings of the Tenth International Conference on Motion in Games,10.1145/3136457.3136462,https://doi.org/10.1145/3136457.3136462,conference paper,publisher::https://dl.acm.org/doi/10.1145/3136457.3136462,publisher::https://dlnext.acm.org/doi/pdf/10.1145/3136457.3136462,publisher::https://dl.acm.org/doi/10.1145/3136457.3136462,publisher::https://dl.acm.org/doi/10.1145/3136457.3136462,doi::https://doi.org/10.1145/3136457.3136462;publisher::https://dl.acm.org/doi/10.1145/3136457.3136462,doi::https://doi.org/10.1145/3136457.3136462;publisher::https://dl.acm.org/doi/10.1145/3136457.3136462,publisher::https://dl.acm.org/doi/10.1145/3136457.3136462,inproceedings,booktitle,https://doi.org/10.1145/3136457.3136462,Weiss,personal;personal;personal;personal,The ACM version of record establishes 2017 publication; the arXiv posting followed in 2018.
C0100,5b4dc77a0ce5452b3bd94adb8afc4c60910aace08019ae61ffde1b1fb6b57161,metadata-03,2026-06-30,verified,uv,Charlie Marsh,2024,Astral,NR,https://docs.astral.sh/uv/,software,official_documentation::https://docs.astral.sh/uv/,official_release::https://astral.sh/blog/uv,official_release::https://astral.sh/blog/uv,official_documentation::https://docs.astral.sh/uv/,NR,official_documentation::https://docs.astral.sh/uv/,official_documentation::https://docs.astral.sh/uv/,misc,howpublished,https://docs.astral.sh/uv/,Marsh,personal,Astral's official announcement dates uv to 2024 and identifies Charlie Marsh; the software has no assigned DOI.
C0101,808317a3c53f4d518a364481e025fb17b6cfea441401840d815916e4f102d731,metadata-03,2026-06-30,verified,Using Genetic Algorithms for Automating Automated Lane-Keeping System Testing,Lorenz Klampfl; Florian Klück; Franz Wotawa,2022,Journal of Software: Evolution and Process,10.1002/smr.2520,https://doi.org/10.1002/smr.2520,journal article,publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,doi::https://doi.org/10.1002/smr.2520;publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,doi::https://doi.org/10.1002/smr.2520;publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,publisher::https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,article,journal,https://doi.org/10.1002/smr.2520,Klampfl,personal;personal;personal,The year is the Wiley online publication year; the later issue assignment does not replace it.
C0106,66c62b2dd2de364b6bc650759647a5723577fd560c3e963ff1aca0ed481c8eb5,metadata-03,2026-06-30,verified,A voyage planning framework for energy performance analysis of autonomous inland waterway vessels,Chengqian Zhang; Chi Zhang; Fabian Thies; Wengang Mao; Jonas W. Ringsberg,2025,Energy,10.1016/j.energy.2025.137906,https://www.sciencedirect.com/science/article/pii/S0360544225035480,journal article,publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,doi::https://doi.org/10.1016/j.energy.2025.137906;publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,publisher::https://www.sciencedirect.com/science/article/pii/S0360544225035480,article,journal,https://www.sciencedirect.com/science/article/pii/S0360544225035480,Zhang,personal;personal;personal;personal;personal,Verified against the Elsevier version-of-record landing page.
C0107,50d8b501badbab055a0ccaf5f1c8e1489b589d98218c9dd4fd0dbdb0e18c25b7,metadata-03,2026-06-30,verified,A Search-Based Framework for Automatic Generation of Testing Environments for Cyber-Physical Systems,Dmytro Humeniuk; Foutse Khomh; Giuliano Antoniol,2022,Information and Software Technology,10.1016/j.infsof.2022.106936,https://doi.org/10.1016/j.infsof.2022.106936,journal article,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,doi::https://doi.org/10.1016/j.infsof.2022.106936;publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,doi::https://doi.org/10.1016/j.infsof.2022.106936;publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866,article,journal,https://doi.org/10.1016/j.infsof.2022.106936,Humeniuk,personal;personal;personal,The journal title excludes volume 149; the associated software repository is not part of the article's source type or canonical URL.
C0122,bcd870bc186bf012f657163e0e7db28f08ce63d47074634818d20ed6f4877595,metadata-03,2026-06-30,verified,Automatically Generating Content for Testing Autonomous Vehicles from User Descriptions,Benedikt Steininger; Chrysanthi Papamichail; David Stark; Dejan Nickovic; Alessio Gambi,2025,2025 IEEE/ACM 47th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),10.1109/icse-nier66352.2025.00021,https://ieeexplore.ieee.org/document/11023959/,conference paper,publisher::https://ieeexplore.ieee.org/document/11023959/,publisher::https://ieeexplore.ieee.org/document/11023959/,publisher::https://ieeexplore.ieee.org/document/11023959/,publisher::https://ieeexplore.ieee.org/document/11023959/,doi::https://doi.org/10.1109/icse-nier66352.2025.00021;publisher::https://ieeexplore.ieee.org/document/11023959/,publisher::https://ieeexplore.ieee.org/document/11023959/,publisher::https://ieeexplore.ieee.org/document/11023959/,inproceedings,booktitle,https://ieeexplore.ieee.org/document/11023959/,Steininger,personal;personal;personal;personal;personal,Verified against the IEEE Xplore version of record.
C0129,f0104c26f5bc53c61884e427e2566ff24ebbb324c6644884d48c1e04741db23f,metadata-03,2026-06-30,verified,OmniDrones: An Efficient and Flexible Platform for Reinforcement Learning in Drone Control,Botian Xu; Feng Gao; Chao Yu; Ruize Zhang; Yi Wu; Yu Wang,2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3356168,https://arxiv.org/abs/2309.12825,journal article,publisher::https://ieeexplore.ieee.org/document/10409589/,publisher::https://ieeexplore.ieee.org/document/10409589/,publisher::https://ieeexplore.ieee.org/document/10409589/,publisher::https://ieeexplore.ieee.org/document/10409589/,doi::https://doi.org/10.1109/lra.2024.3356168;publisher::https://ieeexplore.ieee.org/document/10409589/,preprint_repository::https://arxiv.org/abs/2309.12825,publisher::https://ieeexplore.ieee.org/document/10409589/,article,journal,https://arxiv.org/abs/2309.12825,Xu,personal;personal;personal;personal;personal;personal,The DOI identifies the IEEE version of record; the canonical URL retains the official accessible arXiv manuscript.
C0133,406e7618df5760d8815ad7d1f2e37bc683d29c72ade8cf674656bdf80f33e20b,metadata-03,2026-06-30,verified,Analysis of Road Representations in Search-Based Testing of Autonomous Driving Systems,Ezequiel Castellano; Ahmet Cetinkaya; Paolo Arcaini,2021,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)",10.1109/qrs54544.2021.00028,https://ieeexplore.ieee.org/document/9724804/,conference paper,publisher::https://ieeexplore.ieee.org/document/9724804/,publisher::https://ieeexplore.ieee.org/document/9724804/,publisher::https://ieeexplore.ieee.org/document/9724804/,publisher::https://ieeexplore.ieee.org/document/9724804/,doi::https://doi.org/10.1109/qrs54544.2021.00028;publisher::https://ieeexplore.ieee.org/document/9724804/,publisher::https://ieeexplore.ieee.org/document/9724804/,publisher::https://ieeexplore.ieee.org/document/9724804/,inproceedings,booktitle,https://ieeexplore.ieee.org/document/9724804/,Castellano,personal;personal;personal,Verified against the IEEE Xplore version of record.
C0135,7c99e6cc9bcccfe1a3feb8f6f72f20cff5195fb4b7312b77af37d441f1f6bc97,metadata-03,2026-06-30,verified,Spirale at the SBFT 2023 Tool Competiton - Cyber-Physical Systems Track,Domenico De Vivo; Anna Rita Fasolino,2023,2023 IEEE/ACM International Workshop on Search-Based and Fuzz Testing (SBFT),10.1109/sbft59156.2023.00007,https://ieeexplore.ieee.org/document/10190397/,conference paper,publisher::https://ieeexplore.ieee.org/document/10190397/,publisher::https://ieeexplore.ieee.org/document/10190397/,publisher::https://ieeexplore.ieee.org/document/10190397/,publisher::https://ieeexplore.ieee.org/document/10190397/,doi::https://doi.org/10.1109/sbft59156.2023.00007;publisher::https://ieeexplore.ieee.org/document/10190397/,publisher::https://ieeexplore.ieee.org/document/10190397/,publisher::https://ieeexplore.ieee.org/document/10190397/,inproceedings,booktitle,https://ieeexplore.ieee.org/document/10190397/,DeVivo,personal;personal,The publisher's title contains the spelling 'Competiton'; it is preserved verbatim.
C0136,e123d37de9bb0cb29a0e79e5d67bbd212e2f718b01c9c215e0e347b1285ee957,metadata-03,2026-06-30,verified,SBST Tool Competition 2021,Sebastiano Panichella; Alessio Gambi; Fiorella Zampetti; Vincenzo Riccio,2021,2021 IEEE/ACM 14th International Workshop on Search-Based Software Testing (SBST),10.1109/sbst52555.2021.00011,https://ieeexplore.ieee.org/document/9476243/,conference paper; competition report,publisher::https://ieeexplore.ieee.org/document/9476243/,publisher::https://ieeexplore.ieee.org/document/9476243/,publisher::https://ieeexplore.ieee.org/document/9476243/,publisher::https://ieeexplore.ieee.org/document/9476243/,doi::https://doi.org/10.1109/sbst52555.2021.00011;publisher::https://ieeexplore.ieee.org/document/9476243/,publisher::https://ieeexplore.ieee.org/document/9476243/,publisher::https://ieeexplore.ieee.org/document/9476243/,inproceedings,booktitle,https://ieeexplore.ieee.org/document/9476243/,Panichella,personal;personal;personal;personal,"The artifact is a published competition report, not the benchmark software itself."
C0141,38b6769b2969682c18284f567df53f038a39de663cb3562f18d8fa89e6ebff65,metadata-03,2026-06-30,verified,Interactive Evolution for the Procedural Generation of Tracks in a High-End Racing Game,Luigi Cardamone; Daniele Loiacono; Pier Luca Lanzi,2011,Proceedings of the 13th annual conference on Genetic and evolutionary computation,10.1145/2001576.2001631,https://doi.org/10.1145/2001576.2001631,conference paper,publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,doi::https://doi.org/10.1145/2001576.2001631;publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,doi::https://doi.org/10.1145/2001576.2001631;publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,publisher::https://dl.acm.org/doi/10.1145/2001576.2001631,inproceedings,booktitle,https://doi.org/10.1145/2001576.2001631,Cardamone,personal;personal;personal,The full ACM proceedings title replaces the abbreviated provisional venue.
C0142,e3b7c1638a6bfaf6f9497803f05c64ba09f51540171749e415bb021d1a0f937b,metadata-03,2026-06-30,verified,DeepHyperion: Exploring the Feature Space of Deep Learning-Based Systems through Illumination Search,Tahereh Zohdinasab; Vincenzo Riccio; Alessio Gambi; Paolo Tonella,2021,Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3460319.3464811,https://doi.org/10.1145/3460319.3464811,conference paper,publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,doi::https://doi.org/10.1145/3460319.3464811;publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,doi::https://doi.org/10.1145/3460319.3464811;publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,publisher::https://dl.acm.org/doi/10.1145/3460319.3464811,inproceedings,booktitle,https://doi.org/10.1145/3460319.3464811,Zohdinasab,personal;personal;personal;personal,The software artifact is associated with the study but is not part of the article's canonical source type or URL.
C0144,5145963e52826fab7f968167f39d5fa3bfda594b0be3aeeec7c2e1e45cccc1e2,metadata-03,2026-06-30,verified,GenRL at the SBST 2022 Tool Competition,Luigi Libero Lucio Starace; Andrea Romdhana; Sergio Di Martino,2022,Proceedings of the 15th Workshop on Search-Based Software Testing,10.1145/3526072.3527533,https://doi.org/10.1145/3526072.3527533,conference paper,publisher::https://dlnext.acm.org/doi/pdf/10.1145/3526072.3527533,publisher::https://dl.acm.org/doi/10.1145/3526072.3527533,publisher::https://dl.acm.org/doi/10.1145/3526072.3527533,publisher::https://dl.acm.org/doi/10.1145/3526072.3527533,doi::https://doi.org/10.1145/3526072.3527533;publisher::https://dl.acm.org/doi/10.1145/3526072.3527533,doi::https://doi.org/10.1145/3526072.3527533;publisher::https://dl.acm.org/doi/10.1145/3526072.3527533,publisher::https://dl.acm.org/doi/10.1145/3526072.3527533,inproceedings,booktitle,https://doi.org/10.1145/3526072.3527533,Starace,personal;personal;personal,Verified against the ACM version of record.
C0149,10b3a39ec819ff31a33071d3a634e5c454573a8277c630fec413fed671410fe4,metadata-03,2026-06-30,verified,Deep Reinforcement Learning Controller for 3D Path Following and Collision Avoidance by Autonomous Underwater Vehicles,Simen Theie Havenstrøm; Adil Rasheed; Omer San,2021,Frontiers in Robotics and AI,10.3389/frobt.2020.566037,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,journal article,publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,doi::https://doi.org/10.3389/frobt.2020.566037;publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,publisher::https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,article,journal,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,Havenstrøm,personal;personal;personal,The publisher identifies the first author as Simen Theie Havenstrøm; the provisional ledger name was incorrect.
C0150,049adb661a149f8d3282aca01c63ab6eeef103f0b1a2a649e5fe9c5c53b8d9d5,metadata-03,2026-06-30,verified,Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators,Taemin Hwang; Ik-Hyun Youn,2022,Applied Sciences,10.3390/app12031651,https://www.mdpi.com/2076-3417/12/3/1651,journal article,publisher::https://www.mdpi.com/2076-3417/12/3/1651,publisher::https://www.mdpi.com/2076-3417/12/3/1651,publisher::https://www.mdpi.com/2076-3417/12/3/1651,publisher::https://www.mdpi.com/2076-3417/12/3/1651,doi::https://doi.org/10.3390/app12031651;publisher::https://www.mdpi.com/2076-3417/12/3/1651,publisher::https://www.mdpi.com/2076-3417/12/3/1651,publisher::https://www.mdpi.com/2076-3417/12/3/1651,article,journal,https://www.mdpi.com/2076-3417/12/3/1651,Hwang,personal;personal,Verified against the MDPI article record and official article PDF.
C0156,feb8293d2c4802769de9e776b88fadba27c9791447bff0a03c350c6c19f8591b,metadata-03,2026-06-30,verified,FLYOVER: A Model-Driven Method to Generate Diverse Highway Interchanges for Autonomous Vehicle Testing,Yuan Zhou; Gengjie Lin; Yun Tang; Kairui Yang; Wei Jing; Ping Zhang; Junbo Chen; Liang Gong; Yang Liu,2023,arXiv,10.48550/arxiv.2301.12738,https://arxiv.org/abs/2301.12738,preprint,preprint_repository::https://arxiv.org/abs/2301.12738,preprint_repository::https://arxiv.org/abs/2301.12738,preprint_repository::https://arxiv.org/abs/2301.12738,preprint_repository::https://arxiv.org/abs/2301.12738,preprint_repository::https://arxiv.org/abs/2301.12738,preprint_repository::https://arxiv.org/abs/2301.12738,preprint_repository::https://arxiv.org/abs/2301.12738,misc,howpublished,https://arxiv.org/abs/2301.12738,Zhou,personal;personal;personal;personal;personal;personal;personal;personal;personal,The official arXiv record reports no journal reference; this is treated as preprint-only.
C0158,38e84e77616a7aa136924b0fc3e4f85d7789e80747874ca3a43526dc21f4b38a,metadata-03,2026-06-30,verified,DriveSceneGen: Generating Diverse and Realistic Driving Scenarios from Scratch,Shuo Sun; Zekai Gu; Tianchen Sun; Jiawei Sun; Chengran Yuan; Yuhang Han; Dongen Li; Marcelo H. Ang Jr.,2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3416792,https://arxiv.org/abs/2309.14685,journal article,publisher::https://ieeexplore.ieee.org/document/10565975/,publisher::https://ieeexplore.ieee.org/document/10565975/,publisher::https://ieeexplore.ieee.org/document/10565975/,publisher::https://ieeexplore.ieee.org/document/10565975/,doi::https://doi.org/10.1109/lra.2024.3416792;publisher::https://ieeexplore.ieee.org/document/10565975/,preprint_repository::https://arxiv.org/abs/2309.14685,publisher::https://ieeexplore.ieee.org/document/10565975/,article,journal,https://arxiv.org/abs/2309.14685,Sun,personal;personal;personal;personal;personal;personal;personal;personal,The record was upgraded from preprint-only metadata to the 2024 IEEE journal version while retaining the accessible arXiv URL.
C0163,485eac696ec198a2517b2547483fc2f43f2d187f50eb2ae98779733fda5b3ce2,metadata-03,2026-06-30,verified,RoadGen: Generating Road Scenarios for Autonomous Vehicle Testing,Fan Yang; You Lu; Bihuan Chen; Peng Qin; Xin Peng,2024,arXiv,10.48550/arxiv.2411.19577,https://arxiv.org/abs/2411.19577,preprint,preprint_repository::https://arxiv.org/abs/2411.19577,preprint_repository::https://arxiv.org/abs/2411.19577,preprint_repository::https://arxiv.org/abs/2411.19577,preprint_repository::https://arxiv.org/abs/2411.19577,preprint_repository::https://arxiv.org/abs/2411.19577,preprint_repository::https://arxiv.org/abs/2411.19577,preprint_repository::https://arxiv.org/abs/2411.19577,misc,howpublished,https://arxiv.org/abs/2411.19577,Yang,personal;personal;personal;personal;personal,The official arXiv record reports no journal reference; this is treated as preprint-only.
