candidate_id,input_sha256,agent_id,input_conflict_id,field,value_a,value_b,resolution,resolution_evidence
C0019,56c11d7a34b9e8f3825b1712eb1af43c96e307df655a6173fd3d6d31ac7d10fb,metadata-06,X6CAEF763E6A2,year,2020,2021,2021,proceedings::https://proceedings.mlr.press/v139/jiang21b.html
C0019,56c11d7a34b9e8f3825b1712eb1af43c96e307df655a6173fd3d6d31ac7d10fb,metadata-06,X0EC75D7105B5,url,https://arxiv.org/abs/2010.03934,https://proceedings.mlr.press/v139/jiang21b.html; https://github.com/facebookresearch/dcd,https://proceedings.mlr.press/v139/jiang21b.html,proceedings::https://proceedings.mlr.press/v139/jiang21b.html
C0046,4d5cb8d0383d52b9a47a3bd4b7ad6aaf2b5d25535fff0e387616c3b304f148a7,metadata-06,X293AA469806E,year,2021,2023,2023,publisher::https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=10036240
C0046,4d5cb8d0383d52b9a47a3bd4b7ad6aaf2b5d25535fff0e387616c3b304f148a7,metadata-06,XA51897CC951B,venue,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence 45(3),IEEE Transactions on Pattern Analysis and Machine Intelligence,publisher::https://ieeexplore.ieee.org/document/9829243/;publisher::https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=10036240
C0046,4d5cb8d0383d52b9a47a3bd4b7ad6aaf2b5d25535fff0e387616c3b304f148a7,metadata-06,X23983EDEAA6E,url,https://arxiv.org/abs/2109.12674; https://github.com/metadriverse/metadrive,https://doi.org/10.1109/TPAMI.2022.3190471,https://doi.org/10.1109/tpami.2022.3190471,doi::https://doi.org/10.1109/tpami.2022.3190471
C0046,4d5cb8d0383d52b9a47a3bd4b7ad6aaf2b5d25535fff0e387616c3b304f148a7,metadata-06,X85A4FF443232,url,https://arxiv.org/abs/2109.12674; https://github.com/metadriverse/metadrive,https://doi.org/10.1109/TPAMI.2022.3190471; https://arxiv.org/abs/2109.12674; https://github.com/metadriverse/metadrive,https://doi.org/10.1109/tpami.2022.3190471,doi::https://doi.org/10.1109/tpami.2022.3190471
C0046,4d5cb8d0383d52b9a47a3bd4b7ad6aaf2b5d25535fff0e387616c3b304f148a7,metadata-06,XBC2B1FAEEE41,source_type,journal article; official software,paper,journal article,publisher::https://ieeexplore.ieee.org/document/9829243/
C0057,c5ecca6a25e6358418d5c5849cd0f59d269fe1fc1de54aac5021c5cd6b41c84c,metadata-06,X42D1680B2D7D,authors,Christopher Yu; Henrik Schumacher; Keenan Crane,Yu; Schumacher; Crane,Chris Yu; Henrik Schumacher; Keenan Crane,publisher::https://dl.acm.org/doi/10.1145/3439429;official_documentation::https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/
C0057,c5ecca6a25e6358418d5c5849cd0f59d269fe1fc1de54aac5021c5cd6b41c84c,metadata-06,X2A6237B1576F,year,2020/2021,2021,2021,publisher::https://dl.acm.org/doi/10.1145/3439429;official_documentation::https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/
C0057,c5ecca6a25e6358418d5c5849cd0f59d269fe1fc1de54aac5021c5cd6b41c84c,metadata-06,XBAA739D6E473,venue,ACM Transactions on Graphics,SIGGRAPH,ACM Transactions on Graphics,publisher::https://dl.acm.org/doi/10.1145/3439429;official_documentation::https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/
C0057,c5ecca6a25e6358418d5c5849cd0f59d269fe1fc1de54aac5021c5cd6b41c84c,metadata-06,X426E79EE6B31,url,https://arxiv.org/abs/2006.07859,https://doi.org/10.1145/3439429; https://arxiv.org/abs/2006.07859,https://doi.org/10.1145/3439429,doi::https://doi.org/10.1145/3439429
C0110,53e3cd422ce21013474dfe9ab2501a65f0d5a80a292f1b0b65fd72316fe6addd,metadata-06,X04D9D2851BB8,venue,Science of Computer Programming,Science of Computer Programming 238,Science of Computer Programming,publisher::https://www.sciencedirect.com/journal/science-of-computer-programming/vol/238/suppl/C
C0110,53e3cd422ce21013474dfe9ab2501a65f0d5a80a292f1b0b65fd72316fe6addd,metadata-06,X0BA0BB5B5C38,source_type,journal article; official software,paper,journal article,publisher::https://www.sciencedirect.com/journal/science-of-computer-programming/vol/238/suppl/C
C0128,d9123bc53b161c42ff453568fc0e7bcded048676c5c679741a5d8382d1ca3578,metadata-06,XF66FEC710D68,venue,2017 IEEE Intelligent Vehicles Symposium,2017 IEEE Intelligent Vehicles Symposium (IV),2017 IEEE Intelligent Vehicles Symposium (IV),publisher::https://ieeexplore.ieee.org/document/7995802/;official_repository::https://mediatum.ub.tum.de/1379638
C0128,d9123bc53b161c42ff453568fc0e7bcded048676c5c679741a5d8382d1ca3578,metadata-06,X3B4E1EBFFCF3,url,https://commonroad.in.tum.de/static/media/LA17.8f9d9dc3.pdf,https://doi.org/10.1109/IVS.2017.7995802; https://github.com/CommonRoad/commonroad-io,https://doi.org/10.1109/ivs.2017.7995802,doi::https://doi.org/10.1109/ivs.2017.7995802
C0128,d9123bc53b161c42ff453568fc0e7bcded048676c5c679741a5d8382d1ca3578,metadata-06,XF77B00907155,source_type,benchmark,primary paper; official repository; official benchmark portal,conference paper,publisher::https://ieeexplore.ieee.org/document/7995802/;official_repository::https://mediatum.ub.tum.de/export/1379638/bibtex
