candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,discovery_stream,discovery_query,discovery_agent,screening_status,exclusion_reason,metadata_status,metadata_evidence,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
AGRL0011,Henrich2025RepulsiveTracks,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,Lasse Henrich; Falko Koetter,2025,IEEE Transactions on Games,10.1109/tg.2025.3561107,https://doi.org/10.1109/TG.2025.3561107,paper,aware-geometry-rl,bootstrap DOI verification: race tracks repulsive curves authoring,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/tg.2025.3561107,ground,car,closed_track,parametric_curve,repair_projection,geometry_synthesis; repair,repair_projection; simulation_validation,self-distance; intersections; curvature; constrained-space occupancy,NR,NR,generated closed curves in constrained spaces,Unity 3D gameplay and authoring evaluation,Unity,NR,NR,NR,repulsion parameters; spline fitting; constraint-space settings,https://doi.org/10.1109/TG.2025.3561107 (IEEE Xplore Abstract),Bootstrap-represented (C0058). Direct course authoring contribution built from repulsive-curve geometry. Evidence audit retained abstract-supported repulsive-curve authoring claims; full text is needed for exact difficulty/diversity metrics and any export format.
AGRL0012,Campos2015RoadPaths,Procedural Generation of Road Paths for Driving Simulation,Carlos Campos; Joao Miguel Leitao; Antonio Fernando Coelho,2015,International Journal of Creative Interfaces and Computer Graphics,10.4018/ijcicg.2015070103,https://doi.org/10.4018/IJCICG.2015070103,paper,aware-geometry-rl,procedural generation road paths driving simulation,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.4018/ijcicg.2015070103,ground,car,open_corridor,NR,NR,geometry_synthesis,not_reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://doi.org/10.4018/IJCICG.2015070103 (publisher Abstract),"Newly discovered, expansion round 1, through alternate term 'road paths'. High-priority manual retrieval for representation and validity details. Evidence audit retained only title/abstract-supported road-path synthesis; full text is needed for generator family, representation, validity, simulator, and evaluation details."
AGRL0013,GymnasiumCarRacing,Gymnasium CarRacing environment track generator,Farama Foundation contributors,NR,Gymnasium official source repository,NR,https://github.com/Farama-Foundation/Gymnasium/blob/main/gymnasium/envs/box2d/car_racing.py,software,aware-geometry-rl,bootstrap source verification: Gymnasium CarRacing track generator checkpoints,aware-geometry-rl,candidate,,verified,https://github.com/Farama-Foundation/Gymnasium/blob/main/gymnasium/envs/box2d/car_racing.py,ground,car,closed_track,sampled_centerline; tile_grid; simulator_native,stochastic_procedural,geometry_synthesis,rejection,checkpoint angles and radii; closure glue distance; tile count,episode reward; track completion,random checkpoint perturbations,on-reset random tracks,Gymnasium CarRacing-v3,Box2D; Gymnasium,NR,official_open,NR,12 checkpoints; radius ranges; retry and glue thresholds; seed,"https://github.com/Farama-Foundation/Gymnasium/blob/main/gymnasium/envs/box2d/car_racing.py (official source file, _create_track(), lines 307-420); https://gymnasium.farama.org/environments/box2d/car_racing/ (official documentation, Rewards and Episode End sections)",Bootstrap-represented (C0017). Actual stochastic course synthesis; it is also the substrate used by racing UED papers. Evidence audit found no course serialization path in the official source; export_format is NR.
AGRL0014,Li2020PGDrive,Improving the Generalization of End-to-End Driving through Procedural Generation,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chun-Xiao Liu; Bolei Zhou,2020,arXiv,10.48550/arxiv.2012.13681,https://arxiv.org/abs/2012.13681; https://github.com/decisionforce/pgdrive,paper,aware-geometry-rl,bootstrap primary-paper verification: PGDrive procedural road blocks generalization,aware-geometry-rl,candidate,,verified,https://export.arxiv.org/api/query?id_list=2012.13681,ground,car,road_network,simulator_native; waypoint_graph,stochastic_procedural,geometry_synthesis; benchmark_only,by_construction; rejection,road-block composition; lane geometry,driving success and safety outcomes,number and composition of generated scenes,procedurally generated driving scenes,held-out PGDrive scenes,PGDrive,JSON map; simulator_native,official_open,NR,road-block vocabulary; seeds; training-scene counts,"https://arxiv.org/pdf/2012.13681 (primary PDF, Section III-A-C, Algorithm 1, and Section IV-A-B); https://github.com/decisionforce/pgdrive/blob/main/pgdrive/component/map/pg_map.py (official generator source path); https://github.com/decisionforce/pgdrive/tree/main/pgdrive/component/blocks (official road-block source paths)","Bootstrap-represented (C0006). Generates road geometry and scene distributions, not only appearance or traffic randomization."
AGRL0015,Li2023MetaDrive,MetaDrive: Composing Diverse Driving Scenarios for Generalizable Reinforcement Learning,Quanyi Li; Zhenghao Peng; Lan Feng; Qihang Zhang; Zhenghai Xue; Bolei Zhou,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2022.3190471,https://doi.org/10.1109/TPAMI.2022.3190471; https://arxiv.org/abs/2109.12674; https://github.com/metadriverse/metadrive,paper,aware-geometry-rl,bootstrap primary-paper verification: MetaDrive block incremental generation road graph,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/tpami.2022.3190471,ground,car,road_network,waypoint_graph; simulator_native; hybrid,stochastic_procedural,geometry_synthesis; serialization; benchmark_only,rejection,road-block graph; lane count and width; edge intersections,success; crash; rule violation,scene count; road-block composition,1; 5; 10; 20; 50; 100; 300; 1000 procedural scenes; 1000 real training scenes,held-out procedural and real-data scenarios over five seeds,MetaDrive,simulator_native,official_open,official_open,block sequence; lane width/count; scene counts; five seeds; generator retries,"https://arxiv.org/pdf/2109.12674 (primary PDF, Sections 4.1 and 5.2, pp. 5-10); https://github.com/metadriverse/metadrive/blob/main/metadrive/component/algorithm/BIG.py (official BIG source path); https://github.com/metadriverse/metadrive/blob/main/metadrive/component/map/pg_map.py (official map source path); https://github.com/metadriverse/metadrive/blob/main/metadrive/engine/asset_loader.py (official asset-loader source path)",Bootstrap-represented (C0046). The block generator rejects edge crossings and backtracks after repeated failed attachment attempts.
AGRL0016,ASAMOpenDRIVE19,ASAM OpenDRIVE 1.9.0,ASAM e.V.,NR,ASAM standard,NR,https://www.asam.net/standards/detail/opendrive/,standard,aware-geometry-rl,bootstrap official standard verification: OpenDRIVE road network XML reference line lanes,aware-geometry-rl,candidate,,verified,https://www.asam.net/standards/detail/opendrive/,ground,car,road_network,hybrid,NR,serialization,not_reported,reference-line geometry; lane sections; elevation; junction and lane links,NR,NR,NR,NR,simulator-independent,XML .xodr,not_applicable,NR,standard version; XML schema; road/lane/junction semantics,"https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/latest/specification/index.html (official specification, Chapters 5-12, including Roads, Lanes, and Junctions); https://www.asam.net/standards/detail/opendrive/ (official Files and Schemas section)","Bootstrap-represented (C0007). Serialization/interchange standard only; it does not synthesize, mutate, or select courses."
AGRL0017,Ikram2023Roundabouts,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,2023,2023 IEEE Intelligent Vehicles Symposium,10.1109/iv55152.2023.10186533,https://doi.org/10.1109/IV55152.2023.10186533; https://arxiv.org/abs/2303.17900,paper,aware-geometry-rl,bootstrap DOI verification: procedural complex roundabouts autonomous vehicle testing,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/iv55152.2023.10186533,ground,car,road_network,parametric_curve; simulator_native,constructive,geometry_synthesis; serialization,by_construction; constraint_solver,roundabout radius; lane count; incident-road angle and placement,NR,parameter combinations,parameter-controlled roundabout families,generated roundabout cases for AV testing,OpenDRIVE-compatible simulators,OpenDRIVE XML,NR,NR,roundabout and approach-road parameters; OpenDRIVE export,"https://arxiv.org/pdf/2303.17900 (primary PDF, Section III-A-B, Section IV, and Section V, pp. 2-6)",Bootstrap-represented (C0008). Actual constrained road-geometry synthesis and serialization.
AGRL0018,Klueck2021ChallengingRoads,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klueck; Lorenz Klampfl; Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,paper,aware-geometry-rl,bootstrap arXiv verification: challenging road networks ALKS Bezier search,aware-geometry-rl,candidate,,verified,https://export.arxiv.org/api/query?id_list=2103.01288,ground,car,open_corridor,parametric_curve,search_evolutionary,geometry_synthesis; mutation,rejection; penalty; simulation_validation,Bezier control points; overlap; curvature,lane departure and ALKS challenge,discrete Frechet distance,searched Bezier road candidates,ALKS system tests,BeamNG.research 1.3.0.0,NR,NR,NR,Bezier encoding; search objective; geometric rejection criteria,"https://arxiv.org/pdf/2103.01288 (primary PDF, Sections 2-4 and Tables 1-3, pp. 1-4)",Bootstrap-represented (C0015). Actual road synthesis; distinguished from fixed-road ALKS controller evaluation.
AGRL0019,Althoff2017CommonRoad,CommonRoad: Composable benchmarks for motion planning on roads,Matthias Althoff; Markus Koschi; Stefanie Manzinger,2017,2017 IEEE Intelligent Vehicles Symposium,10.1109/ivs.2017.7995802,https://doi.org/10.1109/IVS.2017.7995802; https://github.com/CommonRoad/commonroad-io,benchmark,aware-geometry-rl,CommonRoad composable benchmarks road serialization lanelet official,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/ivs.2017.7995802,ground,car,fixed_benchmark; road_network,waypoint_graph; boundary_pair; hybrid,human_designed,serialization; benchmark_only,not_reported,lanelet and road-network geometry,motion-planning task outcome,scenario corpus composition,curated benchmark scenarios,CommonRoad benchmark,simulator-independent,CommonRoad XML,official_open,NR,scenario schema; lanelet network; planning problem definition,"https://doi.org/10.1109/IVS.2017.7995802 (primary paper, Sections II-III); https://github.com/CommonRoad/commonroad-io/blob/develop/commonroad/common/file_reader.py (official reader source path); https://github.com/CommonRoad/commonroad-io/blob/develop/commonroad/common/file_writer.py (official writer source path)","Newly discovered, expansion round 1. Useful serialization/benchmark boundary; it does not itself generate road courses. Evidence audit verified CommonRoad I/O code but not a directly downloadable official asset corpus from the inspected paths; asset_status is NR."
AGRL0020,Mi2021HDMapGen,HDMapGen: A Hierarchical Graph Generative Model of High Definition Maps,Lu Mi; Hang Zhao; Charlie Nash; Xiaohan Jin; Jiyang Gao; Chen Sun; Cordelia Schmid; Nir Shavit; Yuning Chai; Dragomir Anguelov,2021,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition,10.1109/cvpr46437.2021.00421,https://doi.org/10.1109/CVPR46437.2021.00421,paper,aware-geometry-rl,bootstrap DOI verification: HDMapGen hierarchical graph high definition maps,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/cvpr46437.2021.00421,ground,car,road_network,waypoint_graph; hybrid,learned_generative,geometry_synthesis,not_reported,lane-graph topology; geometric fidelity,NR,generated-map diversity,Argoverse and in-house HD maps,map-generation benchmarks on held-out maps,NR,NR,NR,NR,plain and hierarchical graph variants; datasets; evaluation metrics,"https://openaccess.thecvf.com/content/CVPR2021/papers/Mi_HDMapGen_A_Hierarchical_Graph_Generative_Model_of_High_Definition_Maps_CVPR_2021_paper.pdf (official CVF PDF, Sections 3-4, Figures 2-5, and Tables 1-2)","Bootstrap-represented (C0097). Generates HD lane-map geometry; code status remains NR because no official author repository was verified. Evidence audit treats the hierarchical graph as a representation, not a reported serialization format; export_format is NR."
AGRL0021,Zhu2026ComplexityRoadNetworks,Complexity controllable road network generation for virtual testing of autonomous driving,Yu Zhu; Jiaxin Wang; Shaoxin Yuan; Zhigang Xu; Xiaobo Qu,2026,Communications in Transportation Research,10.26599/commtr.2026.9640024,https://doi.org/10.26599/COMMTR.2026.9640024,paper,aware-geometry-rl,complexity controllable road network generation virtual testing autonomous driving,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.26599/commtr.2026.9640024,ground,car,road_network,waypoint_graph; hybrid,constructive,geometry_synthesis,by_construction; simulation_validation,potential collision risk; nonintersection; nonoverlap; compactness; cartographic parameter error,uncomfortable-driving duration; average speed; complexity correlation,15 prescribed complexity levels,4500 generated road networks,geometric fidelity and virtual-driving correlation study,NR,NR,NR,NR,road-element graph models; 15 levels; 4500 networks; correlation and relative-error statistics,"https://doi.org/10.26599/COMMTR.2026.9640024 (publisher Abstract, methods and quantitative results statements)","Newly discovered, expansion round 4, through current-year terminology search. Direct dynamics-linked difficulty calibration; one of two late additions. Evidence audit retained quantitative claims stated in the publisher abstract; full text is needed for the named simulator and any export format."
AGRL0022,Gambi2019ASFault,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,Alessio Gambi; Marc Mueller; Gordon Fraser,2019,Proceedings of ISSTA 2019,10.1145/3293882.3330566,https://doi.org/10.1145/3293882.3330566; https://github.com/alessiogambi/AsFault,paper,aware-geometry-rl,bootstrap primary-source verification: ASFault road generation BeamNG,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1145/3293882.3330566,ground,car,open_corridor,segment_grammar; simulator_native,search_evolutionary,geometry_synthesis; mutation; serialization,rejection; repair_projection; simulation_validation,road-segment topology; polyline geometry; curvature,out-of-bounds events,test-suite road diversity,evolved road populations,BeamNG lane-keeping tests,BeamNG.tech,BeamNG scenario,official_open,NR,seed; evolve command; population; fitness; road-segment encoding,"https://doi.org/10.1145/3293882.3330566 (primary paper, Sections 3-5); https://github.com/alessiogambi/AsFault/blob/master/README.rst (official usage documentation); https://github.com/alessiogambi/AsFault/blob/master/src/asfault/generator.py (official generator source path); https://github.com/alessiogambi/AsFault/tree/master/src/asfault/beamng_templates (official BeamNG export templates)","Bootstrap-represented (C0022). Direct road synthesis, evolution, validation, and simulator serialization."
AGRL0023,Riccio2020DeepJanus,Model-based exploration of the frontier of behaviours for deep learning system testing,Vincenzo Riccio; Paolo Tonella,2020,Proceedings of ESEC/FSE 2020,10.1145/3368089.3409730,https://doi.org/10.1145/3368089.3409730; https://arxiv.org/abs/2007.02787,paper,aware-geometry-rl,bootstrap DOI verification: DeepJanus road frontier valid invalid lane keeping,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1145/3368089.3409730,ground,car,open_corridor,parametric_curve,search_evolutionary,geometry_synthesis; mutation,rejection; simulation_validation,control points; minimum curvature radius; frontier radius,lane-keeping behavior boundary,frontier dispersion,pairs of behavior-boundary test inputs,deep lane-keeping system and image-classifier cases,BeamNG.tech,NR,NR,NR,feature model; mutation; frontier objective; validity predicates,"https://arxiv.org/pdf/2007.02787 (primary PDF, Sections 4.2, 5.1-5.5, 6.1-6.3, Algorithm 1, and Table 1)",Bootstrap-represented (C0023). Course generation supports model-behavior frontier exploration; it is not a fixed-road controller paper.
AGRL0024,Zohdinasab2021DeepHyperion,DeepHyperion: exploring the feature space of deep learning-based systems through illumination search,Tahereh Zohdinasab; Vincenzo Riccio; Alessio Gambi; Paolo Tonella,2021,Proceedings of ISSTA 2021,10.1145/3460319.3464811,https://doi.org/10.1145/3460319.3464811; https://github.com/testingautomated-usi/DeepHyperion,paper,aware-geometry-rl,DeepHyperion road generation illumination search BeamNG,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1145/3460319.3464811,ground,car,open_corridor,sampled_centerline,search_evolutionary,geometry_synthesis; mutation; benchmark_only,rejection; simulation_validation,segment count; feature-map bins,mean lateral position; misbehavior,illumination-map coverage,MAP-Elites archive of generated roads,BeamNG lane-keeping case study,BeamNG.research 1.7.0.1,JSON; PNG; CSV,official_open,official_open,feature definitions; 300-second demo; seeds; raw experiment data,"https://doi.org/10.1145/3460319.3464811 (primary paper, BeamNG case-study and illumination-search sections); https://github.com/testingautomated-usi/DeepHyperion/blob/master/DeepHyperion-BNG/README.md (official case-study instructions); https://github.com/testingautomated-usi/DeepHyperion/blob/master/DeepHyperion-BNG/core/config.py (official configuration source path); https://github.com/testingautomated-usi/DeepHyperion/tree/master/DeepHyperion-BNG/data (official experiment data path); https://github.com/testingautomated-usi/DeepHyperion/tree/master/DeepHyperion-BNG/levels_template (official simulator asset path)","Newly discovered, expansion round 2, by forward citation from DeepJanus/ASFault. Contributes illumination-based distribution coverage."
AGRL0025,Humeniuk2022AmbieGen,A search-based framework for automatic generation of testing environments for cyber-physical systems,Dmytro Humeniuk; Foutse Khomh; Giuliano Antoniol,2022,Information and Software Technology,10.1016/j.infsof.2022.106936,https://doi.org/10.1016/j.infsof.2022.106936; https://github.com/dgumenyuk/AmbieGen_tool,paper,aware-geometry-rl,AmbieGen automatic generation testing environments road topology,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1016/j.infsof.2022.106936,ground,car,open_corridor; world_asset,segment_grammar; occupancy_heightfield_mesh,search_evolutionary,geometry_synthesis; mutation; serialization,constraint_solver; penalty; simulation_validation,straight length; turn angle; segment type,system-performance fitness,novelty against five best tests,30-test generated suites; vehicle-road and robot-maze cases,lane-keeping vehicle and mobile-robot case studies,NR,JSON,official_open,NR,GA and NSGA-II settings; validity constraints; suite size; statistics,"https://doi.org/10.1016/j.infsof.2022.106936 (primary paper, framework and case-study sections); https://github.com/dgumenyuk/AmbieGen_tool/blob/main/README.md (official framework and output documentation); https://github.com/dgumenyuk/AmbieGen_tool/blob/main/ambiegen/utils/car_road.py (official road representation source path); https://github.com/dgumenyuk/AmbieGen_tool/blob/main/config.py (official configuration source path)","Newly discovered, expansion round 2, through ASFault backward/forward chaining. Direct environment geometry generation. Evidence audit verified the road representation and framework in official code; the inspected sources do not name a single simulator, so simulator is NR."
