candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
C0136,"SBST Tool Competition 2021",https://doi.org/10.1109/SBST52555.2021.00011,"SBST 2021 conference PDF",local_full_text,"paper/data/source_archive/v7/C0136/sbst-tool-competition-2021.pdf","Archived full text."
C0137,"Preliminary Evaluation of Path-aware Crossover Operators for Search-Based Test Data Generation for Autonomous Driving",https://doi.org/10.1109/SBST52555.2021.00020,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0138,"Autonomous Port Navigation With Ranging Sensors Using Model-Based Reinforcement Learning",https://doi.org/10.1115/omae2023-104455,"ASME proceedings record",metadata_only,NR,"No local archive; no verified lawful full text in this audit."
C0139,"Learning high-speed flight in the wild",https://doi.org/10.1126/scirobotics.abg5810,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0140,"Extreme Parkour with Legged Robots",https://arxiv.org/abs/2309.14341,"arXiv:2309.14341v1",local_full_text,"paper/data/source_archive/v7/C0140/cheng-2023-arxiv-2309.14341v1.pdf","Archived preprint; may differ from final ICRA version."
C0141,"Interactive Evolution for the Procedural Generation of Tracks in a High-End Racing Game",https://doi.org/10.1145/2001576.2001631,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0142,"DeepHyperion: Exploring the Feature Space of Deep Learning-Based Systems through Illumination Search",https://doi.org/10.1145/3460319.3464811,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0143,"Wasserstein generative adversarial networks for online test generation for cyber physical systems",https://doi.org/10.1145/3526072.3527522,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0144,"GenRL at the SBST 2022 Tool Competition",https://doi.org/10.1145/3526072.3527533,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0145,"Reinforcement Learning Informed Evolutionary Search for Autonomous Systems Testing",https://arxiv.org/abs/2308.12762,"arXiv:2308.12762v1",local_full_text,"paper/data/source_archive/v7/C0145/rigaa-arxiv-2308.12762v1.pdf","Archived preprint predates the cited 2024 ACM TOSEM version."
C0146,"Search-based Generation of Waypoints for Triggering Self-Adaptations in Maritime Autonomous Vessels",https://doi.org/10.1145/3712256.3726399,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0147,"Toward Maritime Robotic Simulation in Gazebo",https://github.com/osrf/vrx,"VRX navigation-course SDF artifact",official_artifact_only,"paper/data/source_archive/v7/C0147/vrx-navigation-course-3a0aa019.sdf","Archive is an official executable course definition, not the cited 2019 conference paper."
C0148,"Complexity controllable road network generation for virtual testing of autonomous driving",https://www.sciopen.com/article/10.26599/COMMTR.2026.9640024,"SciOpen article version",full_text_official,NR,"No local archived copy."
C0149,"Deep Reinforcement Learning Controller for 3D Path Following and Collision Avoidance by Autonomous Underwater Vehicles",https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.566037/full,"Frontiers article version",full_text_official,NR,"No local archived copy."
C0150,"Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators",https://www.mdpi.com/2076-3417/12/3/1651,"MDPI article version",full_text_official,NR,"No local archived copy."
C0151,"Procedural Generation of Road Paths for Driving Simulation",https://doi.org/10.4018/ijcicg.2015070103,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0152,"Procedural Generation of High-Definition Road Networks for Autonomous Vehicle Testing and Traffic Simulations",https://doi.org/10.4271/12-06-01-0007,"SAE article record",metadata_only,NR,"No local archive; publisher record only."
C0153,"OpenAI Gym",https://arxiv.org/abs/1606.01540,"arXiv:1606.01540",full_text_repository,NR,"Paper is a general toolkit description; no local archived copy."
C0154,"POET: Open-Ended Coevolution of Environments and their Optimized Solutions",https://arxiv.org/abs/1901.01753,"arXiv preprint",full_text_repository,NR,"Preprint version; no local archived copy."
