candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
C0017,"Car Racing",https://raw.githubusercontent.com/Farama-Foundation/Gymnasium/v1.2.3/gymnasium/envs/box2d/car_racing.py,Gymnasium-v1.2.3,official_evidence,paper/data/screening_staging/v8/calibration/screening-02-260efd3e5c074756703b061e28ca3f23/v1/evidence/C0017/official-source/gymnasium-v1.2.3-car-racing.py,"Archived pinned official source file."
C0018,"CLUTR: Curriculum Learning via Unsupervised Task Representation Learning",https://proceedings.mlr.press/v202/azad23a/azad23a.pdf,PMLR-v202-2023,full_text,NR,"Public proceedings PDF; no v8 archived copy."
C0019,"Prioritized Level Replay",https://proceedings.mlr.press/v139/jiang21b/jiang21b.pdf,PMLR-v139-2021,full_text,NR,"Public proceedings PDF; no v8 archived copy."
C0020,"Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design",https://proceedings.neurips.cc/paper_files/paper/2020/file/985e9a46e10005356bbaf194249f6856-Paper.pdf,NeurIPS-2020,full_text,NR,"Public proceedings PDF; no v8 archived copy."
C0021,"Evolving Curricula with Regret-Based Environment Design",https://proceedings.mlr.press/v162/parker-holder22a/parker-holder22a.pdf,PMLR-v162-2022,full_text,NR,"Public proceedings PDF; no v8 archived copy."
C0022,"Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation",https://doi.org/10.1145/3293882.3330566,DOI-10.1145-3293882.3330566,metadata_only,NR,"No v8 primary report; ACM/DOI record only."
C0023,"Model-based exploration of the frontier of behaviours for deep learning system testing",https://arxiv.org/pdf/2007.02787v1,arXiv-2007.02787v1,full_text,paper/data/screening_staging/v8/calibration/screening-01-911be85ee54598aba3adfba5213c0ba9/v1/evidence/C0023/primary-report/riccio-2020-arxiv-2007.02787v1.pdf,"Archived preprint title matches."
C0024,"Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding",https://doi.org/10.1145/3643659.3643926,DOI-10.1145-3643659.3643926,metadata_only,NR,"No v8 primary report; ACM/DOI record only."
C0025,"AirSim Drone Racing Lab",https://proceedings.mlr.press/v123/madaan20a/madaan20a.pdf,PMLR-v123-2020,full_text,paper/data/screening_staging/v8/calibration/screening-03-f43f91731596f9b222880cc172632d8b/v1/evidence/C0025/primary-report/madaan-2020-pmlr123.pdf,"Archived proceedings PDF title matches."
C0026,"Autonomous Drone Racing with Deep Reinforcement Learning",https://doi.org/10.1109/IROS51168.2021.9636053,DOI-10.1109-IROS51168.2021.9636053,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0027,"Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing",https://arxiv.org/pdf/2411.04246,arXiv-2411.04246@2026-07-03,full_text,NR,"Public preprint endpoint; no v8 archived copy."
C0028,"Isaac Gym",https://developer.nvidia.com/isaac-gym,unversioned@2026-07-03,official_evidence,NR,"Official NVIDIA product documentation; no v8 archived artifact."
C0029,"Outracing champion Gran Turismo drivers with deep reinforcement learning",https://doi.org/10.1038/s41586-021-04357-7,DOI-10.1038-s41586-021-04357-7,metadata_only,NR,"No v8 primary report; publisher/DOI record only."
C0030,"Gran Turismo",https://www.polyphony.co.jp/products/,unversioned@2026-07-03,official_evidence,NR,"Official product catalogue; no v8 archived artifact."
C0031,"Super-Human Performance in Gran Turismo Sport Using Deep Reinforcement Learning",https://doi.org/10.1109/lra.2021.3064284,DOI-10.1109-lra.2021.3064284,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0032,"A Super-human Vision-based Reinforcement Learning Agent for Autonomous Racing in Gran Turismo",https://rlj.cs.umass.edu/2024/papers/Paper213.html,RLJ-2024-Paper213,full_text,NR,"Public Reinforcement Learning Journal paper page; no v8 archived copy."
C0033,"A Champion-Level Vision-Based Reinforcement Learning Agent for Competitive Racing in Gran Turismo 7",https://doi.org/10.1109/lra.2025.3560873,DOI-10.1109-lra.2025.3560873,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0034,"Gran Turismo Sport",https://www.gran-turismo.com/us/products/gtsport/,unversioned@2026-07-03,official_evidence,NR,"Official product page; no v8 archived artifact."
C0035,"Gran Turismo 7",https://www.gran-turismo.com/us/products/gt7/,unversioned@2026-07-03,official_evidence,NR,"Official product page; no v8 archived artifact."
C0036,"Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques",https://doi.org/10.1115/DSCC2011-6097,DOI-10.1115-DSCC2011-6097,metadata_only,NR,"No v8 primary report; ASME/DOI record only."
C0037,"Race driver model",https://doi.org/10.1016/j.compstruc.2007.04.028,DOI-10.1016-j.compstruc.2007.04.028,metadata_only,NR,"No v8 primary report; DOI/publisher record only."
C0038,"Minimum curvature trajectory planning and control for an autonomous race car",https://doi.org/10.1080/00423114.2019.1631455,DOI-10.1080-00423114.2019.1631455,metadata_only,NR,"No v8 primary report; DOI/publisher record only."
C0039,"Optimization of the Driving Line on a Race Track",https://doi.org/10.4271/2002-01-3339,DOI-10.4271-2002-01-3339,metadata_only,NR,"No v8 primary report; SAE/DOI record only."
C0040,"Searching for the optimal racing line using genetic algorithms",https://doi.org/10.1109/itw.2010.5593330,DOI-10.1109-itw.2010.5593330,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0041,"Time-optimal trajectory planning for a race car considering variable tyre-road friction coefficients",https://doi.org/10.1080/00423114.2019.1704804,DOI-10.1080-00423114.2019.1704804,metadata_only,NR,"No v8 primary report; DOI/publisher record only."
C0042,"Computing the racing line using Bayesian optimization",https://doi.org/10.1109/cdc42340.2020.9304147,DOI-10.1109-cdc42340.2020.9304147,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0043,"Learning at the Racetrack: Data-Driven Methods to Improve Racing Performance Over Multiple Laps",https://doi.org/10.1109/tvt.2020.2998065,DOI-10.1109-tvt.2020.2998065,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0044,"Optimization-based Path Planning for an Autonomous Vehicle in a Racing Track",https://doi.org/10.1109/iecon.2019.8926856,DOI-10.1109-iecon.2019.8926856,metadata_only,NR,"No v8 primary report; IEEE/DOI record only."
C0045,"Box2D",https://github.com/erincatto/box2d,repository-HEAD@2026-07-03,official_evidence,NR,"Official repository; no v8 archived revision."
C0046,"MetaDrive: Composing Diverse Driving Scenarios for Generalizable Reinforcement Learning",https://arxiv.org/pdf/2109.12674v3,arXiv-2109.12674v3,full_text_public_archive_corrupt,paper/data/screening_staging/v8/calibration/screening-04-5ca6bae4109130444ebed3e3fb74f87f/v1/evidence/C0046/primary-report/metadrive-arxiv-2109.12674v3.pdf,"Manifest checksum matches but local PDF is malformed and unreadable by pdfinfo/pdftotext."
C0047,"ChickenKorma/Track-Generator",https://github.com/ChickenKorma/Track-Generator,repository-HEAD@2026-07-03,official_evidence,NR,"Repository is the software's public source; no v8 archived revision."
C0048,"Unity",https://docs.unity3d.com/Manual/UnityManual.html,unversioned@2026-07-03,official_evidence,NR,"Official Unity manual; no v8 archived artifact."
C0049,"Procedural Race Track Generator",https://github.com/Drallig/ProceduralTrack,repository-HEAD@2026-07-03,official_evidence,NR,"Repository is the software's public source; no v8 archived revision."
C0050,"meraccos/random_car_racing_track_generator",https://github.com/meraccos/random_car_racing_track_generator,repository-HEAD@2026-07-03,official_evidence,NR,"Repository is the software's public source; no v8 archived revision."
C0051,"Racetrackgen2",https://github.com/h3h3h0h0/Racetrackgen2,repository-HEAD@2026-07-03,official_evidence,NR,"Repository is the software's public source; no v8 archived revision."
