candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
"C0180","F1TENTH: An Open-source Evaluation Environment for Continuous Control and Reinforcement Learning","https://proceedings.mlr.press/v123/o-kelly20a.html","PMLR 123 (2020)","full_text_public","paper/data/source_archive/v7/C0180/o-kelly-2020-pmlr123.pdf","Archive contains paper PDF; no simulator source snapshot."
"C0182","f1tenth/f1tenth_racetracks","https://github.com/f1tenth/f1tenth_racetracks","GitHub default branch","full_text_official","NR","Mutable repository branch; no local archive or commit pin."
"C0183","Flightmare: A Flexible Quadrotor Simulator","https://proceedings.mlr.press/v155/song21a.html","PMLR 155 (2021)","full_text_public","paper/data/source_archive/v7/C0183/song-2021-pmlr155.pdf","Archive contains paper PDF; no simulator source snapshot."
"C0184","Formula Student Driverless Simulator 2.2.0","https://fs-driverless.github.io/Formula-Student-Driverless-Simulator/v2.2.0/system-overview/","FSDS 2.2.0","full_text_official","NR","Versioned documentation is public; release source not locally archived."
"C0185","FSSIM","https://github.com/AMZ-Racing/fssim","GitHub default branch","full_text_official","NR","Mutable repository branch; no local archive or commit pin."
"C0187","HoloOcean 1.0.0: Scenarios","https://byu-holoocean.github.io/holoocean-docs/v1.0.0/usage/scenarios.html","HoloOcean 1.0.0","full_text_official","paper/data/source_archive/v7/C0187/holoocean-v1.0.0-scenarios.html","Archive captures the Scenarios page only."
"C0188","isaaclab.terrains.terrain_generator","https://isaac-sim.github.io/IsaacLab/main/_modules/isaaclab/terrains/terrain_generator.html","Isaac Lab main documentation","full_text_official","NR","Mutable main-branch documentation; no local archive or release pin."
"C0189","TUMFTM/laptime-simulation","https://github.com/TUMFTM/laptime-simulation","GitHub default branch","full_text_official","NR","Mutable repository branch; no local archive or commit pin."
"C0190","Learning to Walk in Minutes Using Massively Parallel Deep Reinforcement Learning","https://proceedings.mlr.press/v164/rudin22a.html","PMLR 164 (2022)","full_text_public","NR","Proceedings source; no local archive."
"C0191","netgenerate","https://sumo.dlr.de/docs/netgenerate.html","SUMO current documentation","full_text_official","NR","Unversioned live documentation; no local archive."
"C0192","OpenDRIVE standalone mode","https://carla.readthedocs.io/en/0.9.12/adv_opendrive/","CARLA 0.9.12","full_text_official","NR","Versioned documentation; no local archive."
"C0193","Plan File Format","https://docs.qgroundcontrol.com/master/en/qgc-dev-guide/file_formats/plan.html","QGroundControl master documentation","full_text_official","NR","Mutable master documentation; no local archive."
"C0194","PyFlyt -- UAV Simulation Environments for Reinforcement Learning Research","https://arxiv.org/abs/2304.01305","arXiv:2304.01305v1","full_text_public","NR","Preprint only; no local archive."
"C0195","Race Track Database","https://github.com/TUMFTM/racetrack-database","GitHub default branch","full_text_official","NR","Mutable repository branch; no local archive or commit pin."
"C0196","Random Track Generator","https://pypi.org/project/random-track-generator/1.1.0/","PyPI 1.1.0","full_text_official","paper/data/source_archive/v7/C0196/random-track-generator-1.1.0.tar.gz","Archive is the 1.1.0 package source; linked repository state is not pinned."
"C0198","RoboBoat 2026 | Team Handbook","https://robonation.org/app/uploads/sites/3/2025/10/RoboBoat-2026-Team-Handbook_111125.pdf","RoboBoat 2026 Handbook 111125","full_text_official","paper/data/source_archive/v7/C0198/roboboat-2026-team-handbook-111125.pdf","Archive contains handbook PDF; competition specification rather than simulator source."
"C0199","Robot Parkour Learning","https://proceedings.mlr.press/v229/zhuang23a.html","PMLR 229 (2023)","full_text_public","NR","Proceedings source; no local archive."
"C0200","RobotX 2026 | Team Handbook","https://robonation.org/app/uploads/sites/2/2026/06/RobotX-2026_Team-Handbook-20260625.pdf","Handbook 2026-06-25","full_text_official","NR","Versioned handbook is public; no local archive."
"C0201","SailBot 2022 Events","https://www.sailbot.org/wp-content/uploads/2022/05/SailBot-2022-Events.pdf","SailBot 2022","full_text_official","NR","Competition event specification; no local archive."
"C0202","Scenario Dreamer: Vectorized Latent Diffusion for Generating Driving Simulation Environments","https://openaccess.thecvf.com/content/CVPR2025/html/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.html","CVPR 2025 paper 01604","full_text_public","NR","Conference paper only; no local archive."
