candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
C0084,"Advancing Autonomous Racing: A Comprehensive Survey of the Roboracer (F1TENTH) Platform",https://arxiv.org/abs/2506.15899,"arXiv:2506.15899 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the AIRC version."
C0085,"Optimization-based autonomous racing of 1:43 scale RC cars",https://arxiv.org/abs/1711.07300,"arXiv:1711.07300 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the journal version."
C0086,"TUM autonomous motorsport: An autonomous racing software for the Indy Autonomous Challenge",https://arxiv.org/abs/2205.15979,"arXiv:2205.15979 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the journal version."
C0087,"Indy Autonomous Challenge - Autonomous Race Cars at the Handling Limits",https://arxiv.org/abs/2202.03807,"arXiv:2202.03807 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the book-chapter version."
C0088,"Indy Autonomous Challenge",https://www.indyautonomouschallenge.com/,"archive v7; ACTMS rules v1.0.0",local-official-evidence,/home/antoiner/Documents/TrackGen/.worktrees/survey-foundation/paper/data/source_archive/v7/C0088/iac-actms-rules-v1.0.0.pdf,"Archived official 2022 rules; current organizer page is not the same versioned rulebook."
C0089,"AutoRally: An Open Platform for Aggressive Autonomous Driving",https://arxiv.org/abs/1806.00678,"arXiv:1806.00678 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the IEEE Control Systems version."
C0090,"Driverless Intelligent Vehicles Lab",https://www.ri.cmu.edu/robotics-groups/driverless-intelligent-vehicles-lab/,"archive v7; captured 2026-07-02",local-official-evidence,/home/antoiner/Documents/TrackGen/.worktrees/survey-foundation/paper/data/source_archive/v7/C0090/drive-lab-profile-2026-07-02.html,"Archived CMU Robotics Institute page; live content may have changed after capture."
C0091,"AI Racing Tech",https://www.airacingtech.com/about-us,"official team site checked 2026-07-03",official-web-evidence,NR,"Current team webpage; no versioned local snapshot."
C0092,"Learning Model Predictive Control with Error Dynamics Regression for Autonomous Racing",https://arxiv.org/abs/2309.10716,"arXiv:2309.10716 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the ICRA version."
C0093,"Towards Safety Assured End-to-End Vision-Based Control for Autonomous Racing",https://arxiv.org/abs/2303.02267,"arXiv:2303.02267 checked 2026-07-03",public-full-text,NR,"Public preprint PDF verified; no local archive copy."
C0094,"Adaptive Planning and Control with Time-Varying Tire Models for Autonomous Racing Using Extreme Learning Machine",https://arxiv.org/abs/2303.08235,"arXiv:2303.08235 checked 2026-07-03",public-full-text,NR,"Public preprint PDF verified; no local archive copy."
C0095,"LLA-MPC: Fast Adaptive Control for Autonomous Racing",https://arxiv.org/abs/2505.19512,"arXiv:2505.19512 checked 2026-07-03",public-full-text,NR,"Public preprint PDF verified; no local archive copy."
C0096,"Autonomous Vehicles on the Edge: A Survey on Autonomous Vehicle Racing",https://arxiv.org/abs/2202.07008,"arXiv:2202.07008 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the IEEE Open Journal version."
C0097,"HDMapGen: A Hierarchical Graph Generative Model of High Definition Maps",https://openaccess.thecvf.com/content/CVPR2021/html/Mi_HDMapGen_A_Hierarchical_Graph_Generative_Model_of_High_Definition_Maps_CVPR_2021_paper.html,"archive v7; CVPR 2021 PDF",local-full-text,/home/antoiner/Documents/TrackGen/.worktrees/survey-foundation/paper/data/source_archive/v7/C0097/hdmapgen-cvpr2021.pdf,"Local official CVPR paper PDF contains title, abstract, and full paper text."
C0098,"OpenStreetMap",https://www.openstreetmap.org/about,"official project site checked 2026-07-03",official-web-evidence,NR,"Current project information; no versioned local snapshot."
C0099,"Position-Based Multi-Agent Dynamics for Real-Time Crowd Simulation",https://arxiv.org/abs/1802.02673,"arXiv:1802.02673 checked 2026-07-03",public-full-text,NR,"Public author preprint verified; it may differ from the MiG version."
C0100,"uv",https://docs.astral.sh/uv/,"official documentation checked 2026-07-03",official-web-evidence,NR,"Current documentation; no pinned local documentation version."
C0101,"Using Genetic Algorithms for Automating Automated Lane-Keeping System Testing",https://onlinelibrary.wiley.com/doi/10.1002/smr.2520,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
C0102,"Testing Autonomous Robot Control Software Using Procedural Content Generation",https://link.springer.com/chapter/10.1007/978-3-642-40793-2_4,"publisher record checked 2026-07-03",metadata-only,NR,"No local or independently verified public full text."
