cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
Schwarting2021DeepLatent,NR,ground,simulated race cars,closed_track,tile_grid,NR,NR,NR,NR,NR,NR,500 training races per method,"round-robin tournaments of 100 races per pairing (300 per tournament), repeated for five random seeds; win ratio and average score",OpenAI Gym MultiCarRacing-v0,NR,official_open,NR,official companion repository,https://proceedings.mlr.press/v155/schwarting21a/schwarting21a.pdf (Section 5 Latent Racing Experiments; Appendix A Environment details); https://github.com/igilitschenski/multi_car_racing (official companion repository),Unsealed evidence draft; vehicle color and initial-position randomization are not treated as a documented course-generation mechanism.
Song2021AutonomousDrone,NR,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,110-150 m trajectory length; elevation change up to 17 m,5; 15; 30; 35-gate random tracks,three randomization difficulty levels,100 parallel configurations per training iteration,100 unseen validation tracks; 1000 random test tracks,Flightmare,NR,NR,NR,in-memory gate configurations and trajectories,https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf (Section III-C.3 track generator; Sections IV-B-D; Tables I-V; Figure 7),Unsealed evidence draft; bounded transformations and crash/safety-margin evaluation are reported but an explicit global self-intersection check is not reported.
Sotiropoulos2016VirtualWorlds,NR,NR,robot,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://hal.science/hal-01328909v1 (HAL record title field); https://doi.org/10.1109/edcc.2016.14 (publisher metadata),Unsealed evidence draft; limited access supports only title-level virtual-world and robot-navigation facts and no difficulty-metric definition.
SpeedDreamsNodateSpeedDreams,NR,ground,cars,closed_track,NR,NR,NR,NR,NR,NR,NR,NR,NR,Speed Dreams,NR,official_open,separate assets repository identified,official repository,https://forge.a-lec.org/speed-dreams/speed-dreams-code (README.md opening description and Building from source); https://www.speed-dreams.net/en/about (opening paragraph and Features),Unsealed evidence draft; TORCS-fork status does not establish inheritance of a particular track schema.
Steininger2025AutomaticallyGenerating,NR,ground,autonomous vehicle,open_corridor,segment_grammar; sampled_centerline,learned_generative; constructive,geometry_synthesis,rejection,start point; theta; ordered segment length/direction/incline/turn degrees; three-dimensional road points with cubic-spline elevation,incline; turn count/type/sequence; prompt complexity,participant pairwise assessments of road differences; turn sequence and road length,NR,300 roads: 100 each for P1/P2/P3; 182 valid (60%): P1 88 (1 exposing misbehavior); P2 57 (2); P3 37 (5); prompt-match and diversity user study,BeamNG.tech; BeamNG.AI,semi-structured JSON road description; BeamNG.tech Meshroad/Decalroad,NR,paper cites an uninspected replication package,provided local primary PDF; paper cites an uninspected replication package,paper/data/source_archive/provided/ICSE-NIER66352.2025.00021.pdf (SHA-256 8b5119b6edc8bce2bfb360a279a33b20e47fbca9d803a61a2e9cb18890cd020a; Abstract; Sections II-III and V; Figures 2-4),Unsealed evidence draft; direct source provided locally. The PDF documents ChatGPT-to-JSON road generation and rejection of invalid roads. The paper cites an uninspected replication package.
TORCSNodateTORCSOpen,NR,ground,cars,closed_track,simulator_native,constructive,serialization,NR,NR,NR,NR,NR,NR,TORCS,"track, terrain, and object .ac assets; optional elevation PNGs",official_open,official public source and downloadable project assets,official SourceForge project; maintrackgen.cpp,https://sourceforge.net/projects/torcs/ (project description and Features); https://sourceforge.net/p/torcs/code/ci/7ed3e067f1a1aae917b9bf1aa054dde7c339398d/tree/torcs/torcs/src/tools/trackgen/maintrackgen.cpp (approximately lines 400-474),Unsealed evidence draft; the tool builds supplied track definitions and does not document a stochastic course sampler or distribution.
Wischnewski2022IndyAutonomous,NR,ground,autonomous race car,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://arxiv.org/pdf/2202.03807v1 (Sections 1-4),Unsealed evidence draft; no IAC handbook facts were transferred to this separate paper candidate.
Yannakakis2011ExperienceDriven,NR,ground,car controller,closed_track,parametric_curve,search_evolutionary,geometry_synthesis,simulation_validation,NR,narrow sections; sharp versus gentle turns,NR,NR,simulation with neural controllers; progress; variation in progress; difference between maximum and average speed,simple racing game,NR,NR,NR,NR,https://julian.togelius.com/Yannakakis2011Experiencedriven.pdf (Sections 2; 4.2.1 Example: racing game tracks; and 5),Unsealed evidence draft; the racing example lacks an explicit geometric-validity check and reports no player-data counts or splits.
Yu2021RepulsiveCurves,NR,adjacent,NR,NR,NR,NR,geometry_synthesis,penalty,energy/optimization convergence; timing comparisons,NR,NR,NR,optimization convergence and timing comparisons,NR,NR,NR,NR,NR,https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/RepulsiveCurves.pdf (abstract; Sections 1; 3; and 4),Unsealed evidence draft; this is curve/shape design rather than a simulator course generator; the self-intersection barrier and optional obstacle penalties are directly described.
doNascimento2021ProceduralGeneration,NR,ground,kart,closed_track,tile_grid,constructive,geometry_synthesis,simulation_validation,NR,NR,mean 98.5% difference among generated tracks,NR,playability testing; qualitative gameplay standards,Unity engine/game runtime,NR,NR,NR,NR,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf (Section IV Workflow; Section V results/discussion),Unsealed evidence draft; chain-code details are mapped only to the observed 8-neighbour grid construction and no formal geometric validity test is documented.
