candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,discovery_stream,discovery_query,discovery_agent,screening_status,exclusion_reason,metadata_status,metadata_evidence
C0015,UNECE2021UNRegulation,UN Regulation No. 157 - Automated Lane Keeping Systems (ALKS),United Nations Economic Commission for Europe,2021,United Nations Regulation No. 157,,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,official standard,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_standard::https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks
C0016,Jiang2021ReplayGuided,Replay-Guided Adversarial Environment Design,Minqi Jiang; Michael Dennis; Jack Parker-Holder; Jakob Foerster; Edward Grefenstette; Tim Rocktäschel,2021,Advances in Neural Information Processing Systems 34,,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0016,aware-geometry-rl; main,candidate,,verified,proceedings::https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html
C0017,KlimovNodateCarRacing,Car Racing,Oleg Klimov,,Gymnasium Documentation,,https://gymnasium.farama.org/environments/box2d/car_racing/,benchmark environment; official documentation,aware-geometry-rl; aware-simulation; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; query::site:gymnasium.farama.org CarRacing-v3 random track reset domain_randomize official; seed::C0017,aware-geometry-rl; aware-simulation-benchmarks; main,candidate,,verified,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0018,Azad2023CLUTRCurriculum,CLUTR: Curriculum Learning via Unsupervised Task Representation Learning,Abdus Salam Azad; Izzeddin Gur; Jasper Emhoff; Nathaniel Alexis; Aleksandra Faust; Pieter Abbeel; Ion Stoica,2023,Proceedings of the 40th International Conference on Machine Learning,,https://proceedings.mlr.press/v202/azad23a.html,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0018,aware-geometry-rl; main,candidate,,verified,proceedings::https://proceedings.mlr.press/v202/azad23a.html
C0019,Jiang2021PrioritizedLevel,Prioritized Level Replay,Minqi Jiang; Edward Grefenstette; Tim Rocktäschel,2021,Proceedings of the 38th International Conference on Machine Learning,,https://proceedings.mlr.press/v139/jiang21b.html,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0019,aware-geometry-rl; main,candidate,,verified,proceedings::https://proceedings.mlr.press/v139/jiang21b.html
C0020,Dennis2020EmergentComplexity,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,Michael Dennis; Natasha Jaques; Eugene Vinitsky; Alexandre Bayen; Stuart J. Russell; Andrew Critch; Sergey Levine,2020,Advances in Neural Information Processing Systems 33,,https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0020,aware-geometry-rl; main,candidate,,verified,proceedings::https://proceedings.neurips.cc/paper_files/paper/2020/hash/985e9a46e10005356bbaf194249f6856-Abstract.html
C0021,ParkerHolder2022EvolvingCurricula,Evolving Curricula with Regret-Based Environment Design,Jack Parker-Holder; Minqi Jiang; Michael Dennis; Mikayel Samvelyan; Jakob Foerster; Edward Grefenstette; Tim Rocktäschel,2022,Proceedings of the 39th International Conference on Machine Learning,,https://proceedings.mlr.press/v162/parker-holder22a.html,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0021,aware-geometry-rl; main,candidate,,verified,proceedings::https://proceedings.mlr.press/v162/parker-holder22a.html
C0022,Gambi2019AutomaticallyTesting,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,Alessio Gambi; Marc Mueller; Gordon Fraser,2019,Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3293882.3330566,https://doi.org/10.1145/3293882.3330566,conference paper,autonomous-vehicle testing; aware-geometry-rl; bootstrap,"""Automatically testing self-driving cars"" AsFault official ACM; docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0022",aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.1145/3293882.3330566;publisher::https://dl.acm.org/doi/10.1145/3293882.3330566
C0023,Riccio2020ModelBased,Model-based exploration of the frontier of behaviours for deep learning system testing,Vincenzo Riccio;Paolo Tonella,2020,Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3409730,https://doi.org/10.1145/3368089.3409730,conference paper,autonomous-vehicle testing; aware-geometry-rl; bootstrap,DeepJanus autonomous driving road generation DOI; docs/related-work/state-of-the-art.rst; seed::C0023,aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.1145/3368089.3409730;publisher::https://dl.acm.org/doi/10.1145/3368089.3409730
C0024,Blattner2024DiversityGuided,Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding,Timo Blattner;Christian Birchler;Timo Kehrer;Sebastiano Panichella,2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,10.1145/3643659.3643926,https://doi.org/10.1145/3643659.3643926,conference paper,autonomous-vehicle testing; aware-geometry-rl; bootstrap,"""Diversity-guided Search Exploration for Self-driving Cars Test Generation through Frenet Space Encoding""; docs/related-work/state-of-the-art.rst; seed::C0024",aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.1145/3643659.3643926;publisher::https://dl.acm.org/doi/10.1145/3643659.3643926
C0025,Madaan2020AirSimDrone,AirSim Drone Racing Lab,Ratnesh Madaan; Nicholas Gyde; Sai Vemprala; Matthew Brown; Keiko Nagami; Tim Taubner; Eric Cristofalo; Davide Scaramuzza; Mac Schwager; Ashish Kapoor,2020,Proceedings of the NeurIPS 2019 Competition and Demonstration Track,,https://proceedings.mlr.press/v123/madaan20a.html,conference paper,aerial; aware-simulation; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; query::site:microsoft.github.io/AirSim drone racing gates coordinate system NED simSpawnObject simLoadLevel reset; site:microsoft.com AirSim Drone Racing Lab generation racing tracks paper,aware-simulation-benchmarks; blind-aerial-maritime; main,candidate,,verified,proceedings::https://proceedings.mlr.press/v123/madaan20a.html
C0026,Song2021AutonomousDrone,Autonomous Drone Racing with Deep Reinforcement Learning,Yunlong Song; Mats Steinweg; Elia Kaufmann; Davide Scaramuzza,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros51168.2021.9636053,https://doi.org/10.1109/IROS51168.2021.9636053,conference paper,aerial; bootstrap,"""drone racing"" randomized tracks gate sequence reinforcement learning; docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst",blind-aerial-maritime; main,candidate,,verified,doi::https://doi.org/10.1109/IROS51168.2021.9636053;publisher::https://ieeexplore.ieee.org/document/9636053/
C0027,Liu2024LearningGeneralizable,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,Yueqian Liu,2024,arXiv,10.48550/arxiv.2411.04246,https://arxiv.org/abs/2411.04246,preprint,aerial; bootstrap,"""Learning generalizable policy for obstacle-aware autonomous drone racing""; docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst",blind-aerial-maritime; main,candidate,,verified,preprint_repository::https://arxiv.org/abs/2411.04246
C0028,NVIDIA2020IsaacGym,Isaac Gym,NVIDIA Corporation,2020,NVIDIA Developer,,https://developer.nvidia.com/isaac-gym,simulator software,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_documentation::https://developer.nvidia.com/isaac-gym;official_release::https://developer.nvidia.com/blog/introducing-isaac-gym-rl-for-robotics/
C0029,Wurman2022OutracingChampion,Outracing champion Gran Turismo drivers with deep reinforcement learning,Peter R. Wurman; Samuel Barrett; Kenta Kawamoto; James MacGlashan; Kaushik Subramanian; Thomas J. Walsh; Roberto Capobianco; Alisa Devlic; Franziska Eckert; Florian Fuchs; Leilani Gilpin; Piyush Khandelwal; Varun Kompella; HaoChih Lin; Patrick MacAlpine; Declan Oller; Takuma Seno; Craig Sherstan; Michael D. Thomure; Houmehr Aghabozorgi; Leon Barrett; Rory Douglas; Dion Whitehead; Peter Dürr; Peter Stone; Michael Spranger; Hiroaki Kitano,2022,Nature,10.1038/s41586-021-04357-7,https://www.nature.com/articles/s41586-021-04357-7,journal article,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,publisher::https://www.nature.com/articles/s41586-021-04357-7
C0030,PolyphonyDigital1997GranTurismo,Gran Turismo,Polyphony Digital Inc.,1997,PlayStation,,https://www.polyphony.co.jp/products/,software,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_documentation::https://www.polyphony.co.jp/products/
C0031,Fuchs2021SuperHuman,Super-Human Performance in Gran Turismo Sport Using Deep Reinforcement Learning,Florian Fuchs; Yunlong Song; Elia Kaufmann; Davide Scaramuzza; Peter Dürr,2021,IEEE Robotics and Automation Letters,10.1109/lra.2021.3064284,https://doi.org/10.1109/lra.2021.3064284,journal article,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1109/lra.2021.3064284;publisher::https://ieeexplore.ieee.org/document/9372847/
C0032,Vasco2024SuperHuman,A Super-human Vision-based Reinforcement Learning Agent for Autonomous Racing in Gran Turismo,Miguel Vasco; Takuma Seno; Kenta Kawamoto; Kaushik Subramanian; Peter R. Wurman; Peter Stone,2024,Reinforcement Learning Journal,,https://rlj.cs.umass.edu/2024/papers/Paper213.html,journal article,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,publisher::https://rlj.cs.umass.edu/2024/papers/Paper213.html
C0033,Lee2025ChampionLevel,A Champion-Level Vision-Based Reinforcement Learning Agent for Competitive Racing in Gran Turismo 7,Hojoon Lee; Takuma Seno; Jun Jet Tai; Kaushik Subramanian; Kenta Kawamoto; Peter Stone; Peter R. Wurman,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3560873,https://doi.org/10.1109/lra.2025.3560873,journal article,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1109/lra.2025.3560873;publisher::https://ieeexplore.ieee.org/document/10964853/
C0034,PolyphonyDigital2017GranTurismo,Gran Turismo Sport,Polyphony Digital Inc.,2017,PlayStation 4,,https://www.gran-turismo.com/us/products/gtsport/,video game software,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_release::https://www.gran-turismo.com/us/products/gtsport/
C0035,PolyphonyDigital2022GranTurismo,Gran Turismo 7,Polyphony Digital Inc.,2022,Sony Interactive Entertainment,,https://www.gran-turismo.com/us/products/gt7/,video game software,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_documentation::https://www.gran-turismo.com/us/products/gt7/;official_release::https://www.gran-turismo.com/us/products/gt7/
C0036,Theodosis2011GeneratingRacing,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,Paul A. Theodosis; J. Christian Gerdes,2011,"ASME 2011 Dynamic Systems and Control Conference and Bath/ASME Symposium on Fluid Power and Motion Control, Volume 2",10.1115/dscc2011-6097,https://doi.org/10.1115/DSCC2011-6097,conference paper,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1115/DSCC2011-6097;publisher::https://asmedigitalcollection.asme.org/DSCC/proceedings/DSCC2011/54761/853/353667
C0037,Braghin2008RaceDriver,Race driver model,F. Braghin; F. Cheli; S. Melzi; E. Sabbioni,2008,Computers & Structures,10.1016/j.compstruc.2007.04.028,https://doi.org/10.1016/j.compstruc.2007.04.028,journal article,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1016/j.compstruc.2007.04.028;publisher::https://www.sciencedirect.com/science/article/pii/S0045794908000163
C0038,Heilmeier2020MinimumCurvature,Minimum curvature trajectory planning and control for an autonomous race car,Alexander Heilmeier; Alexander Wischnewski; Leonhard Hermansdorfer; Johannes Betz; Markus Lienkamp; Boris Lohmann,2020,Vehicle System Dynamics,10.1080/00423114.2019.1631455,https://doi.org/10.1080/00423114.2019.1631455,journal article,aware-geometry-rl; bootstrap,docs/related-work/state-of-the-art.rst; seed::C0038,aware-geometry-rl; main,candidate,,verified,doi::https://doi.org/10.1080/00423114.2019.1631455;publisher::https://www.tandfonline.com/doi/full/10.1080/00423114.2019.1631455
C0039,Muhlmeier2002OptimizationDriving,Optimization of the Driving Line on a Race Track,Martin Mühlmeier; Norbert Müller,2002,Motorsports Engineering Conference & Exhibition,10.4271/2002-01-3339,https://doi.org/10.4271/2002-01-3339,conference technical paper,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.4271/2002-01-3339;publisher::https://saemobilus.sae.org/papers/optimization-driving-line-a-race-track-2002-01-3339
C0040,Cardamone2010SearchingOptimal,Searching for the optimal racing line using genetic algorithms,Luigi Cardamone;Daniele Loiacono;Pier Luca Lanzi;Alessandro Pietro Bardelli,2010,Proceedings of the 2010 IEEE Conference on Computational Intelligence and Games,10.1109/itw.2010.5593330,https://doi.org/10.1109/itw.2010.5593330,conference paper,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1109/itw.2010.5593330;publisher::https://ieeexplore.ieee.org/document/5593330/
C0041,Christ2021TimeOptimal,Time-optimal trajectory planning for a race car considering variable tyre-road friction coefficients,Fabian Christ; Alexander Wischnewski; Alexander Heilmeier; Boris Lohmann,2021,Vehicle System Dynamics,10.1080/00423114.2019.1704804,https://doi.org/10.1080/00423114.2019.1704804,journal article,aware-geometry-rl; bootstrap,docs/related-work/state-of-the-art.rst; seed::C0041,aware-geometry-rl; main,candidate,,verified,doi::https://doi.org/10.1080/00423114.2019.1704804;publisher::https://www.tandfonline.com/doi/full/10.1080/00423114.2019.1704804
C0042,Jain2020ComputingRacing,Computing the racing line using Bayesian optimization,Achin Jain; Manfred Morari,2020,2020 59th IEEE Conference on Decision and Control (CDC),10.1109/cdc42340.2020.9304147,https://doi.org/10.1109/cdc42340.2020.9304147,conference paper,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1109/cdc42340.2020.9304147;publisher::https://ieeexplore.ieee.org/document/9304147/
C0043,Kapania2020LearningRacetrack,Learning at the Racetrack: Data-Driven Methods to Improve Racing Performance Over Multiple Laps,Nitin R. Kapania;J. Christian Gerdes,2020,IEEE Transactions on Vehicular Technology,10.1109/tvt.2020.2998065,https://doi.org/10.1109/tvt.2020.2998065,journal article,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1109/tvt.2020.2998065;publisher::https://ieeexplore.ieee.org/document/9102440/
C0044,Bonab2019OptimizationBased,Optimization-based Path Planning for an Autonomous Vehicle in a Racing Track,Saeed Amirfarhangi Bonab; Ali Emadi,2019,IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society,10.1109/iecon.2019.8926856,https://doi.org/10.1109/iecon.2019.8926856,conference paper,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1109/iecon.2019.8926856;publisher::https://ieeexplore.ieee.org/document/8926856/
C0045,CattoNodateBox2D,Box2D,Erin Catto,,GitHub,,https://github.com/erincatto/box2d,software repository,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://github.com/erincatto/box2d
C0046,Li2023MetaDriveComposing,MetaDrive: Composing Diverse Driving Scenarios for Generalizable Reinforcement Learning,Quanyi Li; Zhenghao Peng; Lan Feng; Qihang Zhang; Zhenghai Xue; Bolei Zhou,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2022.3190471,https://doi.org/10.1109/tpami.2022.3190471,journal article,aware-geometry-rl; bootstrap; robot-learning benchmark,docs/related-work/state-of-the-art.rst; procedurally generated driving simulator road networks reinforcement learning MetaDrive official paper; seed::C0046,aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.1109/TPAMI.2022.3190471;doi::https://doi.org/10.1109/tpami.2022.3190471;publisher::https://ieeexplore.ieee.org/document/9829243/;publisher::https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=10036240
C0047,ChickenKorma2022ChickenKormaTrack,ChickenKorma/Track-Generator,ChickenKorma,2022,GitHub repository,,https://github.com/ChickenKorma/Track-Generator,software repository,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://api.github.com/repos/ChickenKorma/Track-Generator
C0048,UnityTechnologiesNodateUnity,Unity,Unity Technologies,,Unity User Manual,,https://docs.unity3d.com/Manual/UnityManual.html,game engine software documentation,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_documentation::https://docs.unity3d.com/Manual/UnityManual.html
C0049,DralligNodateProceduralRace,Procedural Race Track Generator,Luke Gillard,,GitHub,,https://github.com/Drallig/ProceduralTrack,software repository,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://api.github.com/users/Drallig;official_repository::https://github.com/Drallig/ProceduralTrack
C0050,meraccos2023MeraccosRandom,meraccos/random_car_racing_track_generator,meraccos,2023,GitHub repository,,https://github.com/meraccos/random_car_racing_track_generator,software repository,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://github.com/meraccos/random_car_racing_track_generator
C0051,h3h3h0h02023Racetrackgen2,Racetrackgen2,h3h3h0h0,2023,GitHub repository,,https://github.com/h3h3h0h0/Racetrackgen2,software; official repository,bootstrap,docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://api.github.com/repos/h3h3h0h0/Racetrackgen2;official_repository::https://github.com/h3h3h0h0/Racetrackgen2
C0052,Parish2001ProceduralModeling,Procedural modeling of cities,Yoav I. H. Parish; Pascal Müller,2001,Proceedings of the 28th annual conference on Computer graphics and interactive techniques,10.1145/383259.383292,https://doi.org/10.1145/383259.383292,conference paper,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1145/383259.383292;publisher::https://dl.acm.org/doi/10.1145/383259.383292
C0053,EsriNodateArcGISCityEngine,ArcGIS CityEngine,Esri,,Esri,,https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,software,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_documentation::https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview
C0054,Chen2008InteractiveProcedural,Interactive procedural street modeling,Guoning Chen; Gregory Esch; Peter Wonka; Pascal Müller; Eugene Zhang,2008,ACM Transactions on Graphics,10.1145/1360612.1360702,https://doi.org/10.1145/1360612.1360702,journal article,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,doi::https://doi.org/10.1145/1360612.1360702;publisher::https://dl.acm.org/doi/10.1145/1360612.1360702
