cite_key,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
Heilmeier2020MinimumCurvature,ground,autonomous race car,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://doi.org/10.1080/00423114.2019.1631455 (publisher article-title heading),Unsealed evidence draft; limited official endpoint access exposed only title metadata and no abstract-derived method claims were used.
Herman2021LearnRace,ground,simulated race car,closed_track,NR,NR,NR,NR,ADE to centerline,NR,NR,Track01 Thruxton and Track02 Anglesey train; Track03 Vegas test; 10600 samples per sensor/action dimension; nine laps per training track; one-hour pre-evaluation on the test track,ECP; episode duration; AATS; ADE to centerline; trajectory admissibility; trajectory efficiency; movement smoothness,Arrival simulator on Unreal Engine 4; Gym interface; TCP/UDP interaction; CARLA integration,NR,official_open,academic release of simulator; L2R framework; baseline implementations,github.com/learn-to-race/l2r,https://openaccess.thecvf.com/content/ICCV2021/papers/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.pdf (Sections 3.1-3.2; 4.1-4.4; Tables 1-4),Unsealed evidence draft; scanned-dataset and custom track construction are reported but no serialized geometry schema or algorithmic generator is documented.
Hwang2022NavigationScenario,maritime,maritime autonomous surface ship,waypoint_sequence,NR,NR,geometry_synthesis,NR,NR,NR,NR,"564,480 practical ordered scenarios",NR,NR,NR,NR,NR,DOI; publisher article,https://doi.org/10.3390/app12031651; https://www.mdpi.com/2076-3417/12/3/1651 Sections 2.1 and 2.4 and 3.3 Figure 5,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: practical scenarios are stated but the formal validity metric and released scenario format are NR.
Ikram2023ProceduralGeneration,ground,autonomous road vehicle/testing target,road_network,parametric_curve,constructive; stochastic_procedural,geometry_synthesis,by_construction,radius and radius-derivative distributions; 35-45 m input circles,NR,qualitative shape variation,NR,20 random n-way roundabouts; 30 fixed-input three-way roundabouts,NR,OpenDRIVE road description,NR,NR,NR,https://arxiv.org/pdf/2303.17900 (Sections III Classic Roundabout Generation and Turbo Roundabout Generation; Section IV Evaluation),Unsealed evidence draft; OpenDRIVE rule compliance is reported for road connections and no separate collision or topology proof is reported.
IndyAutonomousChallengeNodateIndyAutonomous,ground,attacker and defender race cars,fixed_benchmark,NR,NR,NR,NR,prescribed racing-line and lateral-distance constraints,pass success; achieved speed; two-lap attempt limit,NR,NR,completed pass definition; 15 m longitudinal gap; return to defensive line; lateral-distance/racing-line constraints,physical competition with CURWB/MyLaps telemetry,NR,NR,NR,NR,https://www.indyautonomouschallenge.com/s/2022-ACTMS-Rules-v100.pdf (Sections 4.4; 4.6; 4.8; 4.8.1; and 7),Unsealed evidence draft; the rules define competition constraints and outcomes but no generator or generated-geometry metrics.
Jain2020ComputingRacing,ground,autonomous race car,NR,centerline_plus_width,NR,boundary_case,constraint_solver,NR,minimum traversal/lap time,NR,NR,two ETH Zurich 1/43-scale tracks and one UC Berkeley 1/10-scale track,NR,NR,official_open,NR,centerline XY waypoints; track width; vehicle mass m; center-of-gravity distances lf and lr,"https://arxiv.org/abs/2002.04794 (Abstract; Introduction; Sections II, IV-A, IV-B, and V)",Direct source. Boundary evidence only: Bayesian optimization searches smooth racing-line trajectories on a supplied track and does not generate course geometry.
Kabzan2019FSSIM,ground,Formula Student race car,NR,NR,human_designed,geometry_synthesis; serialization,NR,NR,NR,NR,NR,NR,FSSIM/ROS,FSSIM/ROS Track message interface,official_open,open official source repository,pinned official repository source files,https://github.com/AMZ-Racing/fssim; https://github.com/AMZ-Racing/fssim/blob/cf652d8d3f1e13031dad3fb75eb3d4e6fbaaeff4/fssim_rqt_plugins/rqt_fssim_track_editor/src/rqt_fssim_track_editor/track.py lines 117-135 and 187-235 and 302-360 and 399-419 fssim_common/msg/Track.msg lines 1-7,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: construction and serialization are exposed but a randomized track distribution is NR.
Kaufmann2018DeepDrone,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,NR,NR,NR,20000 static-track simulation images; 100000 random-gate-position images; 25000 static real images; 15000 dynamic real images,expert recovery within a distance margin; track-completion evaluation,simulated environment; physical quadrotor,NR,NR,NR,NR,https://proceedings.mlr.press/v87/kaufmann18a/kaufmann18a.pdf (Sections 3.1 and 4; supplementary Sections 6.1-6.2),Unsealed evidence draft; moving-gate layout variation is documented but no explicit geometric validity check or named diversity statistic is reported.
Krishnan2021AirLearning,aerial,UAV,world_asset,NR,environment_design,task_selection,NR,NR,NR,NR,NR,success rate and additional quality-of-flight metrics,UE4 plus Microsoft AirSim via an OpenAI Gym interface,NR,official_open,linked UE4 environment-generator and RL repositories,official Air Learning repository,https://github.com/harvard-edge/airlearning (Key features; Air Learning Environment Generator; Air Learning RL; and How to get it),Unsealed evidence draft; the environment is configurable and randomized for RL training but generated-environment geometric validity and numeric metric results are not reported at the README locator.
Loquercio2020DeepDrone,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,NR,NR,NR,20000 static and 100000 dynamic simulated images; 25000 static and 15000 additional dynamic real images; approximately 10000 appendix-dataset real images,DAgger recovery margin; task completion; lap time; RMSE; randomization ablations,simulation and physical quadrotor,NR,official_open,trained models referenced on the project page,project page source code and trained models,https://rpg.ifi.uzh.ch/docs/TRO19_Loquercio.pdf (Section III-A Training Procedure; Section IV-B/IV-C; Tables I-II; Appendix C),Unsealed evidence draft; visual domain randomization and moving-gate layouts are documented but explicit course-topology checking is not reported.
OKelly2020F1TENTHOpen,ground,1/10-scale race car,fixed_benchmark,NR,NR,benchmark_only,NR,NR,NR,NR,fixed racetrack tasks; count NR,lap time; collision-free completion; simulation and hardware evaluation,F1TENTH simulation and hardware evaluation,NR,NR,NR,official paper page and PDF,https://proceedings.mlr.press/v123/o-kelly20a.html PDF pp. 6-7 printed pp. 82-83 Sections 5 and 6.1 and 6.2 Table 1,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: obstacles are placed on known maps and no track-geometry generation is documented at this locator.
OpenRoboticsNodateVRXAutomated,maritime,autonomous surface vessel,gate_chain,gate_poses; simulator_native,constructive,geometry_synthesis; serialization,NR,NR,NR,NR,trial set documented; count NR,NR,VRX/Gazebo,YAML task configuration; generated VRX/Gazebo world,official_open,open official repository,pinned official repository source files,https://github.com/osrf/vrx-docker; https://github.com/osrf/vrx-docker/blob/f599871a83ddfef9851e2f9bc95d082baff47bf2/README.md prepare_task_trials.bash lines 3-5 and 32-51 task_config/gymkhana.yaml lines 1-19 and 46-69 and 97-120 and 147-170 README lines 21-29 and 43-53,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: configured trial worlds are generated but a probability distribution over configurations is NR.
Poggenhans2018Lanelet2High,ground,automated road vehicle,road_network,NR,NR,serialization,NR,NR,NR,NR,NR,NR,NR,OSM read/write,official_open,open official source repository,DOI; pinned official repository archive,https://doi.org/10.1109/ITSC.2018.8569929; https://github.com/fzi-forschungszentrum-informatik/Lanelet2/archive/ae39c8d673264afac2339c4f0252df53a7ba82dd.tar.gz README.md lines 18-28 and 41-47 and 174-183,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: map framework rather than a stochastic course generator.
QGroundControlNodatePlanFile,NR,generic MAV or vehicle,waypoint_sequence,NR,NR,serialization,NR,NR,NR,NR,NR,NR,NR,QGroundControl JSON .plan format,NR,NR,official format documentation,https://docs.qgroundcontrol.com/master/en/qgc-dev-guide/file_formats/plan.html Plan File Mission Object SimpleItem Complex Mission Item CorridorScan,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the schema serializes provided mission structures and does not define a course generator.
RoboNation2023VRX2023,maritime,autonomous surface vessel,gate_chain; waypoint_sequence; buoy_course,gate_poses,stochastic_procedural,geometry_synthesis,NR,NR,NR,NR,random task instances; count NR,gate direction; gate width; traversal and scoring constraints,VRX,NR,NR,NR,official VRX 2023 task specification,https://robonation.org/app/uploads/sites/2/2023/07/VRX2023_Task-Descriptions_v1.2.pdf pp. 2-4 Section 4.2 Follow the Path pp. 9-10 Section 3.2 Wayfinding Table 3 Section 3.6 Navigation Channel,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: random placement and constraints are documented but no serialized task schema is provided.
RoboNation2026RoboBoat2026,maritime,autonomous surface vessel,gate_chain; buoy_course,gate_poses,NR,benchmark_only,NR,NR,NR,NR,multi-task course set; count NR,traversal and scoring constraints,NR,NR,NR,NR,official RoboBoat 2026 handbook,https://robonation.org/app/uploads/sites/3/2025/10/RoboBoat-2026-Team-Handbook_111125.pdf pp. 45-50 Sections 3.2.1-3.2.3 task-layout figures pp. 58-60 Sections 3.2.7 and 3.4-3.5,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: variable task elements are documented but no procedural course-generation algorithm is specified.
RoboNation2026RobotX2026,maritime,autonomous surface craft,gate_chain; buoy_course,gate_poses,stochastic_procedural,geometry_synthesis,NR,NR,NR,NR,randomized each run; cardinality NR,task rules,NR,NR,NR,NR,official RobotX 2026 handbook,https://robonation.org/app/uploads/sites/2/2026/06/RobotX-2026_Team-Handbook-20260625.pdf Change Log pp. 6-8 Section 3.3.2 pp. 56-58 Section 3.5 pp. 70-76,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: run-level route randomization is stated but the sampling algorithm and distribution are not exposed.
Schwarting2021DeepLatent,ground,simulated race cars,closed_track,tile_grid,NR,NR,NR,NR,NR,NR,500 training races per method,"round-robin tournaments of 100 races per pairing (300 per tournament), repeated for five random seeds; win ratio and average score",OpenAI Gym MultiCarRacing-v0,NR,official_open,NR,official companion repository,https://proceedings.mlr.press/v155/schwarting21a/schwarting21a.pdf (Section 5 Latent Racing Experiments; Appendix A Environment details); https://github.com/igilitschenski/multi_car_racing (official companion repository),Unsealed evidence draft; vehicle color and initial-position randomization are not treated as a documented course-generation mechanism.
Song2021AutonomousDrone,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,110-150 m trajectory length; elevation change up to 17 m,5; 15; 30; 35-gate random tracks,three randomization difficulty levels,100 parallel configurations per training iteration,100 unseen validation tracks; 1000 random test tracks,Flightmare,NR,NR,NR,in-memory gate configurations and trajectories,https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf (Section III-C.3 track generator; Sections IV-B-D; Tables I-V; Figure 7),Unsealed evidence draft; bounded transformations and crash/safety-margin evaluation are reported but an explicit global self-intersection check is not reported.
Sotiropoulos2016VirtualWorlds,NR,robot,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://hal.science/hal-01328909v1 (HAL record title field); https://doi.org/10.1109/edcc.2016.14 (publisher metadata),Unsealed evidence draft; limited access supports only title-level virtual-world and robot-navigation facts and no difficulty-metric definition.
SpeedDreamsNodateSpeedDreams,ground,cars,closed_track,NR,NR,NR,NR,NR,NR,NR,NR,NR,Speed Dreams,NR,official_open,separate assets repository identified,official repository,https://forge.a-lec.org/speed-dreams/speed-dreams-code (README.md opening description and Building from source); https://www.speed-dreams.net/en/about (opening paragraph and Features),Unsealed evidence draft; TORCS-fork status does not establish inheritance of a particular track schema.
Steininger2025AutomaticallyGenerating,ground,autonomous vehicle,open_corridor,segment_grammar; sampled_centerline,learned_generative; constructive,geometry_synthesis,rejection,start point; theta; ordered segment length/direction/incline/turn degrees; three-dimensional road points with cubic-spline elevation,incline; turn count/type/sequence; prompt complexity,participant pairwise assessments of road differences; turn sequence and road length,NR,300 roads: 100 each for P1/P2/P3; 182 valid (60%): P1 88 (1 exposing misbehavior); P2 57 (2); P3 37 (5); prompt-match and diversity user study,BeamNG.tech; BeamNG.AI,semi-structured JSON road description; BeamNG.tech Meshroad/Decalroad,NR,paper cites an uninspected replication package,provided local primary PDF; paper cites an uninspected replication package,paper/data/source_archive/provided/ICSE-NIER66352.2025.00021.pdf (SHA-256 8b5119b6edc8bce2bfb360a279a33b20e47fbca9d803a61a2e9cb18890cd020a; Abstract; Sections II-III and V; Figures 2-4),Unsealed evidence draft; direct source provided locally. The PDF documents ChatGPT-to-JSON road generation and rejection of invalid roads. The paper cites an uninspected replication package.
TORCSNodateTORCSOpen,ground,cars,closed_track,simulator_native,constructive,serialization,NR,NR,NR,NR,NR,NR,TORCS,"track, terrain, and object .ac assets; optional elevation PNGs",official_open,official public source and downloadable project assets,official SourceForge project; maintrackgen.cpp,https://sourceforge.net/projects/torcs/ (project description and Features); https://sourceforge.net/p/torcs/code/ci/7ed3e067f1a1aae917b9bf1aa054dde7c339398d/tree/torcs/torcs/src/tools/trackgen/maintrackgen.cpp (approximately lines 400-474),Unsealed evidence draft; the tool builds supplied track definitions and does not document a stochastic course sampler or distribution.
Wischnewski2022IndyAutonomous,ground,autonomous race car,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://arxiv.org/pdf/2202.03807v1 (Sections 1-4),Unsealed evidence draft; no IAC handbook facts were transferred to this separate paper candidate.
Yannakakis2011ExperienceDriven,ground,car controller,closed_track,parametric_curve,search_evolutionary,geometry_synthesis,simulation_validation,NR,narrow sections; sharp versus gentle turns,NR,NR,simulation with neural controllers; progress; variation in progress; difference between maximum and average speed,simple racing game,NR,NR,NR,NR,https://julian.togelius.com/Yannakakis2011Experiencedriven.pdf (Sections 2; 4.2.1 Example: racing game tracks; and 5),Unsealed evidence draft; the racing example lacks an explicit geometric-validity check and reports no player-data counts or splits.
Yu2021RepulsiveCurves,adjacent,NR,NR,NR,NR,geometry_synthesis,penalty,energy/optimization convergence; timing comparisons,NR,NR,NR,optimization convergence and timing comparisons,NR,NR,NR,NR,NR,https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/RepulsiveCurves.pdf (abstract; Sections 1; 3; and 4),Unsealed evidence draft; this is curve/shape design rather than a simulator course generator; the self-intersection barrier and optional obstacle penalties are directly described.
Yu2025MasteringDiverse,aerial,racing drone,closed_track,NR,NR,geometry_synthesis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DOI; author preprint,https://doi.org/10.1109/LRA.2025.3643267; https://arxiv.org/pdf/2512.09571v2 Section III-C Curriculum Learning for Generalizable Racing Track Primitive Generator Figure 2,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: clutter variation and track primitives are discussed but no released track format is exposed.
doNascimento2021ProceduralGeneration,ground,kart,closed_track,tile_grid,constructive,geometry_synthesis,simulation_validation,NR,NR,mean 98.5% difference among generated tracks,NR,playability testing; qualitative gameplay standards,Unity engine/game runtime,NR,NR,NR,NR,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf (Section IV Workflow; Section V results/discussion),Unsealed evidence draft; chain-code details are mapped only to the observed 8-neighbour grid construction and no formal geometric validity test is documented.
