cite_key,source_candidate_id,title,field,primary_value,reliability_value,primary_evidence_locator,primary_coding_notes,evidence_bytes_locator,evidence_sha256
DRAFT_C0020,C0020,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,generation_role,geometry_synthesis;task_selection,geometry_synthesis,domain=PDF p. 2 Fig. 1 and Sec. 1;vehicle=PDF p. 2 Fig. 1;course_object=PDF p. 2 Fig. 1;generator_family=PDF p. 5 Sec. 4 and Algorithm 1;generation_role=PDF p. 5 Algorithm 1 and PDF p. 7 Sec. 5.1;geometry_metrics=PDF p. 6 Fig. 2 and PDF p. 8 Sec. 5.1.2;difficulty_metrics=PDF p. 6 Fig. 2;training_distribution=PDF p. 4 Sec. 3 and PDF p. 5 Algorithm 1;evaluation_suite=PDF p. 7 Fig. 3 and Sec. 5.1.2;code_status=PDF p. 5 Sec. 4;reproducibility_fields=PDF p. 5 Sec. 4 and PDF p. 6 Fig. 2,Adjacent navigation-world source; no racing-specific vehicle or simulator is claimed.,paper/data/source_archive/v8/C0020/emergent_complexity_zero_shot_transfer_neurips_2020.pdf,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e
DRAFT_C0020,C0020,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,validity_strategy,NR,simulation_validation,domain=PDF p. 2 Fig. 1 and Sec. 1;vehicle=PDF p. 2 Fig. 1;course_object=PDF p. 2 Fig. 1;generator_family=PDF p. 5 Sec. 4 and Algorithm 1;generation_role=PDF p. 5 Algorithm 1 and PDF p. 7 Sec. 5.1;geometry_metrics=PDF p. 6 Fig. 2 and PDF p. 8 Sec. 5.1.2;difficulty_metrics=PDF p. 6 Fig. 2;training_distribution=PDF p. 4 Sec. 3 and PDF p. 5 Algorithm 1;evaluation_suite=PDF p. 7 Fig. 3 and Sec. 5.1.2;code_status=PDF p. 5 Sec. 4;reproducibility_fields=PDF p. 5 Sec. 4 and PDF p. 6 Fig. 2,Adjacent navigation-world source; no racing-specific vehicle or simulator is claimed.,paper/data/source_archive/v8/C0020/emergent_complexity_zero_shot_transfer_neurips_2020.pdf,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e
DRAFT_C0054,C0054,Interactive procedural street modeling,generator_family,constructive;human_designed,constructive,survey_evidence_tier=PDF p. 1 Abstract and Sec. 1;domain=PDF p. 1 Abstract;course_object=PDF p. 1 Abstract and Sec. 3;representation_family=PDF p. 2 Sec. 3;generator_family=PDF p. 1 Abstract and PDF p. 2 Sec. 3;generation_role=PDF p. 2 Sec. 3,Adjacent-domain street-network synthesis is source-native; the paper reports no racing vehicle or release availability.,paper/data/source_archive/v8/C0054/interactive_procedural_street_modeling_2008.pdf,fa3271884023ebf8d1442e8626d649bbb5ebe1e9043dc48ff5a62ad291674665
DRAFT_C0054,C0054,Interactive procedural street modeling,validity_strategy,NR,not_reported,survey_evidence_tier=PDF p. 1 Abstract and Sec. 1;domain=PDF p. 1 Abstract;course_object=PDF p. 1 Abstract and Sec. 3;representation_family=PDF p. 2 Sec. 3;generator_family=PDF p. 1 Abstract and PDF p. 2 Sec. 3;generation_role=PDF p. 2 Sec. 3,Adjacent-domain street-network synthesis is source-native; the paper reports no racing vehicle or release availability.,paper/data/source_archive/v8/C0054/interactive_procedural_street_modeling_2008.pdf,fa3271884023ebf8d1442e8626d649bbb5ebe1e9043dc48ff5a62ad291674665
DRAFT_C0119,C0119,Learn-To-Race: A Multimodal Control Environment for Autonomous Racing,survey_evidence_tier,core,supporting,domain=PDF p. 1 Abstract and Sec. 2.2;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. 3.2 and PDF p. 4 Sec. 4.1;representation_family=PDF p. 3 Sec. 3.1;generation_role=PDF p. 1 Abstract and PDF p. 4 Sec. 4.1;geometry_metrics=PDF p. 6 Table 2;training_distribution=PDF p. 4 Sec. 4.1 and Sec. 4.2;evaluation_suite=PDF p. 6 Sec. 4.4 and PDF p. 7 Sec. 6;simulator=PDF p. 3 Sec. 3.1;code_status=PDF p. 1 Abstract;asset_status=PDF p. 1 Abstract and PDF p. 4 Sec. 4.2;reproducibility_fields=PDF p. 1 Abstract and PDF p. 7 Sec. 8,Core simulator-task and fixed-track benchmark source; no source-native synthesis algorithm is specified.,paper/data/source_archive/v8/C0119/learn_to_race_iccv_2021.pdf,fe6540c38f19aedc95db9f8992cdc750b3a017e2dcb3796db3ed6c641e765fde
DRAFT_C0119,C0119,Learn-To-Race: A Multimodal Control Environment for Autonomous Racing,generation_role,benchmark_only,NR,domain=PDF p. 1 Abstract and Sec. 2.2;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. 3.2 and PDF p. 4 Sec. 4.1;representation_family=PDF p. 3 Sec. 3.1;generation_role=PDF p. 1 Abstract and PDF p. 4 Sec. 4.1;geometry_metrics=PDF p. 6 Table 2;training_distribution=PDF p. 4 Sec. 4.1 and Sec. 4.2;evaluation_suite=PDF p. 6 Sec. 4.4 and PDF p. 7 Sec. 6;simulator=PDF p. 3 Sec. 3.1;code_status=PDF p. 1 Abstract;asset_status=PDF p. 1 Abstract and PDF p. 4 Sec. 4.2;reproducibility_fields=PDF p. 1 Abstract and PDF p. 7 Sec. 8,Core simulator-task and fixed-track benchmark source; no source-native synthesis algorithm is specified.,paper/data/source_archive/v8/C0119/learn_to_race_iccv_2021.pdf,fe6540c38f19aedc95db9f8992cdc750b3a017e2dcb3796db3ed6c641e765fde
DRAFT_C0121,C0121,Environment as Policy: Learning to Race in Unseen Tracks,generation_role,geometry_synthesis,geometry_synthesis;mutation,survey_evidence_tier=PDF p. 1 Abstract and Fig. 1;domain=PDF p. 1 Abstract;vehicle=PDF p. 2 Sec. III-A;course_object=PDF p. 2 Sec. III-A;representation_family=PDF p. 3 Sec. III-B.1;generator_family=PDF p. 3 Sec. III-B.1 and Sec. III-B.2;generation_role=PDF p. 3 Algorithm 1;validity_strategy=PDF p. 4 Sec. IV-A;difficulty_metrics=PDF p. 3 Sec. III-B.1;training_distribution=PDF p. 3 Sec. III-B.2;evaluation_suite=PDF p. 3 Fig. 3 and PDF p. 4 Sec. IV-A;simulator=PDF p. 3 Sec. IV-A;reproducibility_fields=PDF p. 4 Sec. IV-A,The environment policy changes each gate position and yaw from racing performance; no code or serialized course format is stated in the frozen paper.,paper/data/source_archive/v8/C0121/environment_as_policy_arxiv_2410.22308.pdf,c3ddf711eb83a9e28c8ba43b45f4b558a8d017f479c8774917b9ecfe8783dd2e
DRAFT_C0128,C0128,CommonRoad: Composable Benchmarks for Motion Planning on Roads,representation_family,waypoint_graph,NR,survey_evidence_tier=PDF p. 1 Sec. I;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Sec. I;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 6 Sec. V-C;generation_role=PDF p. 1 Sec. I;validity_strategy=PDF p. 2 Sec. II-B;geometry_metrics=PDF p. 2 Sec. I;difficulty_metrics=PDF p. 2 Sec. I;evaluation_suite=PDF p. 1 Sec. I;export_format=PDF p. 2 Sec. I;code_status=PDF p. 2 Sec. I;asset_status=PDF p. 2 Sec. I;reproducibility_fields=PDF p. 2 Sec. II-A,NR,paper/data/source_archive/v8/C0128/commonroad-iv-2017.pdf,fa78a36bb0b499551b245bf93ae44c6ea6338b49f8ab075fc6e79922fe1fab86
DRAFT_C0128,C0128,CommonRoad: Composable Benchmarks for Motion Planning on Roads,generation_role,benchmark_only,NR,survey_evidence_tier=PDF p. 1 Sec. I;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Sec. I;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 6 Sec. V-C;generation_role=PDF p. 1 Sec. I;validity_strategy=PDF p. 2 Sec. II-B;geometry_metrics=PDF p. 2 Sec. I;difficulty_metrics=PDF p. 2 Sec. I;evaluation_suite=PDF p. 1 Sec. I;export_format=PDF p. 2 Sec. I;code_status=PDF p. 2 Sec. I;asset_status=PDF p. 2 Sec. I;reproducibility_fields=PDF p. 2 Sec. II-A,NR,paper/data/source_archive/v8/C0128/commonroad-iv-2017.pdf,fa78a36bb0b499551b245bf93ae44c6ea6338b49f8ab075fc6e79922fe1fab86
DRAFT_C0128,C0128,CommonRoad: Composable Benchmarks for Motion Planning on Roads,validity_strategy,not_reported,NR,survey_evidence_tier=PDF p. 1 Sec. I;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Sec. I;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 6 Sec. V-C;generation_role=PDF p. 1 Sec. I;validity_strategy=PDF p. 2 Sec. II-B;geometry_metrics=PDF p. 2 Sec. I;difficulty_metrics=PDF p. 2 Sec. I;evaluation_suite=PDF p. 1 Sec. I;export_format=PDF p. 2 Sec. I;code_status=PDF p. 2 Sec. I;asset_status=PDF p. 2 Sec. I;reproducibility_fields=PDF p. 2 Sec. II-A,NR,paper/data/source_archive/v8/C0128/commonroad-iv-2017.pdf,fa78a36bb0b499551b245bf93ae44c6ea6338b49f8ab075fc6e79922fe1fab86
DRAFT_C0131,C0131,Aerial Gym Simulator: A Framework for Highly Parallelized Simulation of Aerial Robots,survey_evidence_tier,supporting,core,survey_evidence_tier=docs#L121-L161;domain=docs#L229-L231;vehicle=docs#L229-L231;course_object=docs#L64-L68 and docs#L121-L123;representation_family=docs#L121-L161;simulator=docs#L17-L19;reproducibility_fields=docs#L64-L118 and docs#L121-L227,NR,paper/data/source_archive/v8/C0131/aerial-gym-v2.0.0-simulation-components.md,af05e2c0e11366a6b85cabfb94e398979f03ae16a5365d5b3195a68c24f5b267
DRAFT_C0131,C0131,Aerial Gym Simulator: A Framework for Highly Parallelized Simulation of Aerial Robots,generator_family,NR,stochastic_procedural,survey_evidence_tier=docs#L121-L161;domain=docs#L229-L231;vehicle=docs#L229-L231;course_object=docs#L64-L68 and docs#L121-L123;representation_family=docs#L121-L161;simulator=docs#L17-L19;reproducibility_fields=docs#L64-L118 and docs#L121-L227,NR,paper/data/source_archive/v8/C0131/aerial-gym-v2.0.0-simulation-components.md,af05e2c0e11366a6b85cabfb94e398979f03ae16a5365d5b3195a68c24f5b267
DRAFT_C0131,C0131,Aerial Gym Simulator: A Framework for Highly Parallelized Simulation of Aerial Robots,generation_role,NR,geometry_synthesis,survey_evidence_tier=docs#L121-L161;domain=docs#L229-L231;vehicle=docs#L229-L231;course_object=docs#L64-L68 and docs#L121-L123;representation_family=docs#L121-L161;simulator=docs#L17-L19;reproducibility_fields=docs#L64-L118 and docs#L121-L227,NR,paper/data/source_archive/v8/C0131/aerial-gym-v2.0.0-simulation-components.md,af05e2c0e11366a6b85cabfb94e398979f03ae16a5365d5b3195a68c24f5b267
DRAFT_C0136,C0136,SBST Tool Competition 2021,representation_family,NR,simulator_native,survey_evidence_tier=PDF p. 1 Abstract and Sec. I;domain=PDF p. 1 Abstract;vehicle=PDF p. 1 Abstract;course_object=PDF p. 4 Sec. III-A;generation_role=PDF p. 1 Abstract and Sec. III;evaluation_suite=PDF p. 1 Abstract and Sec. III;simulator=PDF p. 1 Sec. I;code_status=PDF p. 2 Sec. II-C and PDF p. 8 References [18]-[20];reproducibility_fields=PDF p. 1 Abstract and PDF p. 2 Sec. II-C,Supporting-only competition report: it establishes an evaluation infrastructure for generated driving tests and reports no source-native generator.,paper/data/source_archive/v8/C0136/sbst-tool-competition-2021.pdf,e0c9723c8d01665aaec37115001bd5064b4bb40f6c0276e847cbd94a02438fec
DRAFT_C0136,C0136,SBST Tool Competition 2021,generation_role,benchmark_only,NR,survey_evidence_tier=PDF p. 1 Abstract and Sec. I;domain=PDF p. 1 Abstract;vehicle=PDF p. 1 Abstract;course_object=PDF p. 4 Sec. III-A;generation_role=PDF p. 1 Abstract and Sec. III;evaluation_suite=PDF p. 1 Abstract and Sec. III;simulator=PDF p. 1 Sec. I;code_status=PDF p. 2 Sec. II-C and PDF p. 8 References [18]-[20];reproducibility_fields=PDF p. 1 Abstract and PDF p. 2 Sec. II-C,Supporting-only competition report: it establishes an evaluation infrastructure for generated driving tests and reports no source-native generator.,paper/data/source_archive/v8/C0136/sbst-tool-competition-2021.pdf,e0c9723c8d01665aaec37115001bd5064b4bb40f6c0276e847cbd94a02438fec
DRAFT_C0136,C0136,SBST Tool Competition 2021,code_status,official_open,NR,survey_evidence_tier=PDF p. 1 Abstract and Sec. I;domain=PDF p. 1 Abstract;vehicle=PDF p. 1 Abstract;course_object=PDF p. 4 Sec. III-A;generation_role=PDF p. 1 Abstract and Sec. III;evaluation_suite=PDF p. 1 Abstract and Sec. III;simulator=PDF p. 1 Sec. I;code_status=PDF p. 2 Sec. II-C and PDF p. 8 References [18]-[20];reproducibility_fields=PDF p. 1 Abstract and PDF p. 2 Sec. II-C,Supporting-only competition report: it establishes an evaluation infrastructure for generated driving tests and reports no source-native generator.,paper/data/source_archive/v8/C0136/sbst-tool-competition-2021.pdf,e0c9723c8d01665aaec37115001bd5064b4bb40f6c0276e847cbd94a02438fec
DRAFT_C0150,C0150,Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators,representation_family,NR,waypoint_graph,"survey_evidence_tier=PDF Sec. 2.3.2, Application of Proportion;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF Sec. 2.2.2, Navigation Element Extraction;generator_family=PDF Sec. 2.3.2, Application of Proportion;generation_role=PDF Sec. 2.4, Permutation of Values in Different Proportions;validity_strategy=PDF Sec. 4.3, Permutation Method of Navigation Scenario Generation;geometry_metrics=PDF Sec. 2.2.2, Navigation Element Extraction;training_distribution=PDF Sec. 2.3.1, Representative Value Decision;reproducibility_fields=PDF Sec. 2.2.2, Navigation Element Extraction;reproducibility_fields=PDF Sec. 3.3, Permutation of Prepared Components and Sample Scenario",NR,paper/data/source_archive/v8/C0150/navigation_scenario_permutation_applsci_2022_v2.pdf,95ab84d67915610dbf600b9e097092f59ff27d2d8871146d48b4742f0e8e41b3
DRAFT_C0150,C0150,Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators,generator_family,constructive,selection_replay,"survey_evidence_tier=PDF Sec. 2.3.2, Application of Proportion;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF Sec. 2.2.2, Navigation Element Extraction;generator_family=PDF Sec. 2.3.2, Application of Proportion;generation_role=PDF Sec. 2.4, Permutation of Values in Different Proportions;validity_strategy=PDF Sec. 4.3, Permutation Method of Navigation Scenario Generation;geometry_metrics=PDF Sec. 2.2.2, Navigation Element Extraction;training_distribution=PDF Sec. 2.3.1, Representative Value Decision;reproducibility_fields=PDF Sec. 2.2.2, Navigation Element Extraction;reproducibility_fields=PDF Sec. 3.3, Permutation of Prepared Components and Sample Scenario",NR,paper/data/source_archive/v8/C0150/navigation_scenario_permutation_applsci_2022_v2.pdf,95ab84d67915610dbf600b9e097092f59ff27d2d8871146d48b4742f0e8e41b3
DRAFT_C0150,C0150,Navigation Scenario Permutation Model for Training of Maritime Autonomous Surface Ship Remote Operators,asset_status,NR,closed,"survey_evidence_tier=PDF Sec. 2.3.2, Application of Proportion;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF Sec. 2.2.2, Navigation Element Extraction;generator_family=PDF Sec. 2.3.2, Application of Proportion;generation_role=PDF Sec. 2.4, Permutation of Values in Different Proportions;validity_strategy=PDF Sec. 4.3, Permutation Method of Navigation Scenario Generation;geometry_metrics=PDF Sec. 2.2.2, Navigation Element Extraction;training_distribution=PDF Sec. 2.3.1, Representative Value Decision;reproducibility_fields=PDF Sec. 2.2.2, Navigation Element Extraction;reproducibility_fields=PDF Sec. 3.3, Permutation of Prepared Components and Sample Scenario",NR,paper/data/source_archive/v8/C0150/navigation_scenario_permutation_applsci_2022_v2.pdf,95ab84d67915610dbf600b9e097092f59ff27d2d8871146d48b4742f0e8e41b3
DRAFT_C0164,C0164,GenTe: Generative Real-world Terrains for General Legged Robot Locomotion Control,representation_family,occupancy_heightfield_mesh,occupancy_heightfield_mesh;hybrid,"survey_evidence_tier=PDF Sec. IV, Terrain Generation for Policy Training;domain=PDF Sec. IV, Terrain Generation for Policy Training;vehicle=PDF Fig. 4;course_object=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;representation_family=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;generator_family=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;generation_role=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;difficulty_metrics=PDF Sec. V-C, Evaluation on Generated Terrains;training_distribution=PDF Sec. V, Experiments and Results;evaluation_suite=PDF Sec. V-C, Evaluation on Generated Terrains;simulator=PDF Sec. V, Experiments and Results;code_status=PDF p. 2, footnote 1 (github.com/HaronW/GenTe);asset_status=PDF Sec. VI, Conclusion;reproducibility_fields=PDF Sec. V, Experiments and Results",NR,paper/data/source_archive/v8/C0164/gente_real_world_terrains_arxiv_2504.09997.pdf,8d09aa9a1d0fd97ebbfb90268cb9a924455fb44304b3c4c8bd7e40e20ecf3bcb
DRAFT_C0164,C0164,GenTe: Generative Real-world Terrains for General Legged Robot Locomotion Control,generator_family,learned_generative,constructive;learned_generative,"survey_evidence_tier=PDF Sec. IV, Terrain Generation for Policy Training;domain=PDF Sec. IV, Terrain Generation for Policy Training;vehicle=PDF Fig. 4;course_object=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;representation_family=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;generator_family=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;generation_role=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;difficulty_metrics=PDF Sec. V-C, Evaluation on Generated Terrains;training_distribution=PDF Sec. V, Experiments and Results;evaluation_suite=PDF Sec. V-C, Evaluation on Generated Terrains;simulator=PDF Sec. V, Experiments and Results;code_status=PDF p. 2, footnote 1 (github.com/HaronW/GenTe);asset_status=PDF Sec. VI, Conclusion;reproducibility_fields=PDF Sec. V, Experiments and Results",NR,paper/data/source_archive/v8/C0164/gente_real_world_terrains_arxiv_2504.09997.pdf,8d09aa9a1d0fd97ebbfb90268cb9a924455fb44304b3c4c8bd7e40e20ecf3bcb
DRAFT_C0164,C0164,GenTe: Generative Real-world Terrains for General Legged Robot Locomotion Control,validity_strategy,NR,not_reported,"survey_evidence_tier=PDF Sec. IV, Terrain Generation for Policy Training;domain=PDF Sec. IV, Terrain Generation for Policy Training;vehicle=PDF Fig. 4;course_object=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;representation_family=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;generator_family=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;generation_role=PDF Sec. IV-A, VLM-Driven Terrain Generation in GenTe;difficulty_metrics=PDF Sec. V-C, Evaluation on Generated Terrains;training_distribution=PDF Sec. V, Experiments and Results;evaluation_suite=PDF Sec. V-C, Evaluation on Generated Terrains;simulator=PDF Sec. V, Experiments and Results;code_status=PDF p. 2, footnote 1 (github.com/HaronW/GenTe);asset_status=PDF Sec. VI, Conclusion;reproducibility_fields=PDF Sec. V, Experiments and Results",NR,paper/data/source_archive/v8/C0164/gente_real_world_terrains_arxiv_2504.09997.pdf,8d09aa9a1d0fd97ebbfb90268cb9a924455fb44304b3c4c8bd7e40e20ecf3bcb
